Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,41.38,1.656307861066093,0.388917868545677,0.4138,0.29986255137754453,11479368,0.0,84.5,81.8,3.9,0.0,6.5,49.4,0.0,94.6,93.10000000000001,"[[0, 33, 37, 4, 0, 4, 886, 0, 32, 4], [0, 845, 17, 2, 0, 0, 119, 0, 3, 14], [0, 3, 818, 0, 0, 1, 159, 0, 17, 2], [0, 470, 13, 39, 0, 0, 382, 0, 38, 58], [0, 17, 642, 0, 0, 1, 322, 0, 18, 0], [0, 1, 0, 0, 0, 65, 8, 0, 506, 420], [0, 12, 434, 0, 0, 2, 494, 0, 54, 4], [0, 0, 0, 0, 0, 5, 0, 0, 853, 142], [0, 2, 33, 0, 0, 0, 8, 0, 946, 11], [0, 0, 0, 0, 0, 0, 3, 0, 66, 931]]"
2,61.45,1.0072406187605933,0.6433424344579903,0.6145,0.590224962551608,24393656,45.7,95.7,56.99999999999999,3.8,70.6,83.2,29.599999999999998,68.5,88.3,72.1,"[[457, 116, 10, 17, 44, 7, 334, 0, 13, 2], [0, 957, 10, 1, 26, 3, 2, 0, 1, 0], [0, 7, 570, 2, 343, 0, 69, 0, 9, 0], [8, 741, 4, 38, 175, 1, 32, 0, 1, 0], [0, 53, 201, 1, 706, 1, 33, 0, 4, 1], [0, 4, 0, 2, 0, 832, 11, 70, 21, 60], [62, 61, 158, 13, 383, 2, 296, 0, 22, 3], [0, 0, 0, 0, 0, 298, 0, 685, 4, 13], [0, 5, 21, 12, 25, 21, 14, 14, 883, 5], [0, 3, 7, 1, 2, 225, 10, 24, 7, 721]]"
3,51.44,1.4338522898122525,0.5578571165279403,0.5144,0.4581951154181586,37307944,63.9,87.5,27.700000000000003,95.0,74.9,98.1,17.1,0.0,49.4,0.8,"[[639, 8, 4, 297, 6, 6, 38, 0, 2, 0], [2, 875, 6, 100, 15, 2, 0, 0, 0, 0], [52, 0, 277, 38, 459, 4, 166, 0, 3, 1], [12, 13, 0, 950, 14, 0, 11, 0, 0, 0], [1, 3, 25, 181, 749, 3, 36, 0, 1, 1], [0, 1, 0, 14, 0, 981, 3, 0, 0, 1], [140, 4, 49, 230, 387, 11, 171, 0, 8, 0], [0, 0, 0, 0, 0, 999, 0, 0, 0, 1], [2, 3, 8, 71, 46, 301, 73, 0, 494, 2], [1, 1, 1, 30, 2, 937, 15, 0, 5, 8]]"
4,57.12,1.0635831403656129,0.6908965142253233,0.5712,0.5131500156901632,48787311,54.2,91.8,2.3,82.1,4.2,69.69999999999999,79.4,93.5,90.8,3.2,"[[542, 7, 0, 113, 1, 3, 312, 0, 20, 2], [0, 918, 2, 45, 3, 1, 30, 0, 1, 0], [1, 1, 23, 10, 6, 0, 935, 1, 20, 3], [7, 37, 0, 821, 3, 0, 129, 0, 3, 0], [0, 4, 6, 77, 42, 0, 860, 0, 10, 1], [0, 2, 0, 6, 0, 697, 8, 269, 17, 1], [71, 2, 4, 83, 4, 5, 794, 0, 37, 0], [0, 0, 0, 0, 0, 60, 0, 935, 5, 0], [0, 2, 0, 19, 1, 11, 42, 17, 908, 0], [0, 1, 0, 5, 0, 704, 16, 140, 102, 32]]"
5,69.16,0.8887097044303395,0.7192606653653939,0.6916,0.6618247200845835,63136521,91.8,94.1,49.1,49.7,88.3,87.3,3.9,94.5,78.4,54.50000000000001,"[[918, 19, 9, 18, 19, 5, 10, 0, 2, 0], [16, 941, 8, 14, 16, 4, 0, 0, 0, 1], [122, 1, 491, 2, 376, 1, 4, 1, 2, 0], [206, 164, 4, 497, 124, 1, 3, 1, 0, 0], [14, 12, 77, 9, 883, 1, 3, 0, 1, 0], [1, 2, 0, 3, 0, 873, 1, 104, 2, 14], [383, 15, 134, 7, 410, 5, 39, 0, 5, 2], [0, 0, 0, 0, 0, 48, 0, 945, 2, 5], [39, 4, 29, 16, 42, 38, 27, 14, 784, 7], [13, 1, 12, 2, 2, 183, 0, 240, 2, 545]]"
6,69.16,0.7901033799107463,0.7505074970135309,0.6916,0.6952988550910568,70311126,90.7,83.1,30.0,47.599999999999994,42.5,74.2,56.599999999999994,93.7,85.7,87.5,"[[907, 1, 4, 8, 4, 2, 67, 0, 6, 1], [91, 831, 6, 38, 10, 5, 18, 0, 1, 0], [53, 0, 300, 1, 116, 0, 528, 0, 2, 0], [324, 10, 1, 476, 21, 1, 167, 0, 0, 0], [9, 1, 127, 18, 425, 2, 414, 0, 3, 1], [1, 1, 0, 0, 0, 742, 1, 166, 12, 77], [321, 1, 57, 6, 35, 4, 566, 0, 10, 0], [0, 0, 0, 0, 0, 5, 0, 937, 13, 45], [9, 1, 1, 3, 4, 15, 95, 7, 857, 8], [4, 1, 0, 0, 0, 8, 5, 101, 6, 875]]"
7,67.8,0.8392268768705118,0.7213137946346179,0.678,0.6482764414445633,77485731,80.10000000000001,95.0,95.1,33.1,21.0,91.4,9.4,95.0,89.1,68.8,"[[801, 39, 70, 6, 3, 5, 66, 1, 9, 0], [5, 950, 26, 9, 1, 5, 3, 0, 1, 0], [10, 3, 951, 1, 24, 1, 7, 0, 3, 0], [119, 315, 89, 331, 95, 1, 47, 1, 1, 1], [0, 20, 754, 3, 210, 2, 8, 0, 3, 0], [0, 1, 1, 0, 0, 914, 0, 60, 3, 21], [216, 20, 622, 3, 21, 4, 94, 0, 20, 0], [0, 0, 0, 0, 0, 36, 0, 950, 7, 7], [1, 2, 48, 2, 1, 39, 7, 7, 891, 2], [1, 1, 11, 0, 0, 45, 3, 246, 5, 688]]"
8,73.96,0.8176333471989861,0.7498832656969718,0.7396,0.7069383145044899,87530178,79.9,93.0,43.2,89.4,92.0,87.9,0.8999999999999999,78.9,93.8,80.60000000000001,"[[799, 7, 17, 138, 17, 4, 4, 0, 14, 0], [2, 930, 6, 50, 10, 1, 0, 0, 1, 0], [28, 0, 432, 22, 505, 0, 1, 1, 10, 1], [28, 13, 4, 894, 53, 0, 3, 0, 4, 1], [2, 3, 18, 51, 920, 0, 0, 0, 5, 1], [0, 3, 0, 8, 1, 879, 0, 17, 38, 54], [219, 2, 82, 132, 520, 4, 9, 0, 31, 1], [0, 0, 0, 0, 0, 87, 0, 789, 71, 53], [1, 2, 13, 17, 12, 8, 2, 3, 938, 4], [4, 1, 5, 12, 0, 11, 0, 49, 112, 806]]"
9,59.27,1.1471802175235444,0.6754872215680015,0.5927,0.5167991937361208,94704783,96.0,93.8,18.099999999999998,25.900000000000002,96.6,92.2,0.7000000000000001,98.2,66.3,4.9,"[[960, 7, 2, 2, 15, 7, 4, 2, 1, 0], [32, 938, 4, 3, 16, 7, 0, 0, 0, 0], [200, 1, 181, 1, 604, 3, 8, 1, 1, 0], [427, 146, 1, 259, 147, 17, 0, 3, 0, 0], [16, 4, 5, 2, 966, 5, 1, 0, 0, 1], [1, 1, 0, 1, 0, 922, 0, 75, 0, 0], [423, 8, 19, 2, 522, 12, 7, 1, 5, 1], [0, 0, 0, 0, 0, 17, 0, 982, 0, 1], [64, 3, 2, 1, 70, 78, 33, 84, 663, 2], [7, 0, 0, 0, 2, 335, 1, 606, 0, 49]]"
10,69.36,1.0229700454317343,0.6973157779249758,0.6936,0.6469717253506154,103314309,72.0,93.0,96.6,92.80000000000001,4.8,81.8,0.0,97.3,78.7,76.6,"[[720, 15, 83, 174, 1, 3, 0, 0, 4, 0], [0, 930, 19, 50, 0, 1, 0, 0, 0, 0], [7, 1, 966, 20, 6, 0, 0, 0, 0, 0], [10, 17, 44, 928, 1, 0, 0, 0, 0, 0], [1, 5, 812, 133, 48, 0, 0, 0, 1, 0], [0, 3, 1, 7, 0, 818, 0, 106, 4, 61], [167, 3, 659, 160, 7, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 8, 0, 973, 0, 19], [2, 3, 118, 52, 8, 11, 0, 12, 787, 7], [2, 1, 4, 6, 0, 6, 0, 212, 3, 766]]"
