Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,11.46,2.3080434220286605,0.03766143648725393,0.11460000000000001,0.039546937288493324,119302376,0.0,0.2,0.0,91.8,0.0,0.0,0.0,0.0,0.0,22.6,"[[0, 0, 0, 902, 0, 0, 0, 0, 0, 98], [0, 2, 0, 811, 0, 0, 0, 0, 0, 187], [0, 0, 0, 919, 0, 0, 0, 0, 0, 81], [0, 1, 0, 918, 0, 0, 0, 0, 0, 81], [0, 2, 0, 903, 0, 0, 0, 0, 0, 95], [0, 1, 0, 925, 0, 0, 0, 0, 0, 74], [0, 1, 0, 927, 0, 0, 0, 0, 0, 72], [0, 12, 0, 812, 0, 0, 0, 0, 0, 176], [0, 1, 0, 866, 0, 0, 0, 0, 0, 133], [0, 3, 0, 771, 0, 0, 0, 0, 0, 226]]"
2,15.16,2.318869679880599,0.04789603363172337,0.1516,0.07161751587343555,253517549,53.900000000000006,0.0,0.0,65.5,0.0,32.2,0.0,0.0,0.0,0.0,"[[539, 0, 0, 321, 0, 140, 0, 0, 0, 0], [205, 0, 0, 609, 0, 186, 0, 0, 0, 0], [125, 0, 0, 409, 0, 466, 0, 0, 0, 0], [44, 0, 0, 655, 0, 301, 0, 0, 0, 0], [75, 0, 0, 314, 0, 611, 0, 0, 0, 0], [36, 0, 0, 642, 0, 322, 0, 0, 0, 0], [25, 0, 0, 336, 0, 639, 0, 0, 0, 0], [236, 0, 0, 549, 0, 213, 0, 0, 0, 2], [598, 0, 0, 299, 0, 103, 0, 0, 0, 0], [443, 0, 0, 473, 0, 84, 0, 0, 0, 0]]"
3,15.57,2.4523844216197443,0.06202337365441844,0.1557,0.06951029774645671,387732721,0.0,0.0,0.1,0.0,0.0,37.7,92.10000000000001,25.8,0.0,0.0,"[[0, 0, 6, 0, 0, 645, 219, 130, 0, 0], [0, 0, 0, 1, 0, 426, 395, 178, 0, 0], [0, 0, 1, 0, 0, 308, 650, 41, 0, 0], [0, 0, 1, 0, 0, 297, 680, 22, 0, 0], [0, 0, 0, 0, 0, 110, 847, 43, 0, 0], [0, 0, 0, 0, 0, 377, 607, 16, 0, 0], [0, 0, 0, 0, 0, 72, 921, 7, 0, 0], [0, 0, 0, 0, 0, 212, 530, 258, 0, 0], [0, 0, 0, 0, 0, 561, 291, 148, 0, 0], [0, 0, 0, 0, 0, 328, 304, 368, 0, 0]]"
4,18.14,2.365116799982211,0.15505300078756165,0.1814,0.0820340532541547,507035096,0.1,69.69999999999999,27.400000000000002,0.0,84.2,0.0,0.0,0.0,0.0,0.0,"[[1, 416, 158, 0, 425, 0, 0, 0, 0, 0], [0, 697, 57, 0, 246, 0, 0, 0, 0, 0], [0, 102, 274, 0, 624, 0, 0, 0, 0, 0], [0, 89, 308, 0, 603, 0, 0, 0, 0, 0], [0, 88, 70, 0, 842, 0, 0, 0, 0, 0], [0, 47, 379, 0, 574, 0, 0, 0, 0, 0], [0, 29, 132, 0, 839, 0, 0, 0, 0, 0], [0, 346, 185, 0, 469, 0, 0, 0, 0, 0], [0, 492, 82, 0, 426, 0, 0, 0, 0, 0], [0, 671, 103, 0, 226, 0, 0, 0, 0, 0]]"
5,24.8,2.0207194885887656,0.2234419334025659,0.248,0.17620566751320063,656163066,82.8,12.3,19.2,50.8,54.400000000000006,2.7,0.0,25.8,0.0,0.0,"[[828, 19, 25, 49, 53, 2, 0, 24, 0, 0], [491, 123, 52, 137, 84, 1, 0, 112, 0, 0], [207, 5, 192, 272, 285, 14, 0, 25, 0, 0], [107, 2, 136, 508, 189, 9, 0, 49, 0, 0], [122, 3, 105, 181, 544, 7, 1, 37, 0, 0], [92, 1, 119, 567, 169, 27, 0, 25, 0, 0], [26, 3, 117, 254, 575, 3, 0, 22, 0, 0], [205, 2, 108, 257, 164, 6, 0, 258, 0, 0], [827, 17, 21, 60, 41, 1, 0, 33, 0, 0], [599, 31, 49, 118, 47, 1, 0, 155, 0, 0]]"
6,25.52,2.208642858666734,0.17183991705289783,0.2552,0.1593913049072228,730727051,78.7,10.299999999999999,0.0,49.8,0.0,0.0,56.39999999999999,60.0,0.0,0.0,"[[787, 14, 0, 49, 0, 0, 30, 120, 0, 0], [386, 103, 0, 61, 0, 0, 51, 399, 0, 0], [172, 1, 0, 325, 0, 0, 292, 210, 0, 0], [87, 2, 0, 498, 0, 0, 170, 243, 0, 0], [105, 0, 0, 172, 0, 0, 501, 222, 0, 0], [78, 0, 0, 564, 0, 0, 148, 210, 0, 0], [20, 0, 0, 251, 0, 0, 564, 165, 0, 0], [93, 1, 0, 192, 0, 0, 114, 600, 0, 0], [785, 11, 0, 45, 0, 0, 12, 147, 0, 0], [408, 12, 0, 56, 0, 0, 28, 496, 0, 0]]"
7,21.78,2.550833782068076,0.12359109190911333,0.2178,0.13133240802094923,805291036,74.5,32.6,22.1,0.0,88.6,0.0,0.0,0.0,0.0,0.0,"[[745, 43, 37, 0, 175, 0, 0, 0, 0, 0], [298, 326, 33, 0, 343, 0, 0, 0, 0, 0], [102, 8, 221, 0, 669, 0, 0, 0, 0, 0], [59, 7, 189, 0, 745, 0, 0, 0, 0, 0], [73, 6, 35, 0, 886, 0, 0, 0, 0, 0], [38, 3, 229, 0, 730, 0, 0, 0, 0, 0], [14, 1, 74, 0, 911, 0, 0, 0, 0, 0], [67, 16, 124, 0, 793, 0, 0, 0, 0, 0], [729, 44, 29, 0, 198, 0, 0, 0, 0, 0], [399, 106, 96, 0, 399, 0, 0, 0, 0, 0]]"
8,33.47,1.8053295380010392,0.3131487685302945,0.3347,0.26520746998196376,909680615,13.4,77.0,6.2,14.6,59.9,59.599999999999994,0.0,36.8,67.2,0.0,"[[134, 142, 31, 31, 64, 43, 0, 19, 536, 0], [1, 770, 0, 22, 44, 38, 0, 30, 95, 0], [14, 76, 62, 106, 339, 294, 0, 54, 55, 0], [7, 76, 8, 146, 210, 429, 0, 99, 25, 0], [9, 50, 8, 31, 599, 185, 0, 65, 53, 0], [3, 48, 11, 99, 181, 596, 0, 49, 13, 0], [1, 50, 3, 96, 619, 174, 0, 49, 8, 0], [2, 122, 10, 52, 176, 228, 0, 368, 42, 0], [11, 202, 7, 18, 36, 34, 0, 20, 672, 0], [0, 579, 3, 33, 27, 30, 0, 118, 210, 0]]"
9,30.39,1.9615186765171087,0.3360921460903924,0.3039,0.22388641256394948,984244600,49.2,0.1,12.1,1.0,0.0,30.2,82.19999999999999,65.2,1.9,62.0,"[[492, 2, 87, 0, 0, 11, 80, 93, 6, 229], [43, 1, 2, 0, 0, 6, 80, 280, 1, 587], [41, 0, 121, 6, 0, 77, 526, 196, 0, 33], [14, 0, 37, 10, 0, 150, 483, 277, 0, 29], [22, 0, 37, 1, 0, 36, 668, 199, 0, 37], [12, 0, 28, 5, 0, 302, 403, 231, 0, 19], [3, 0, 8, 3, 0, 19, 822, 133, 0, 12], [9, 0, 21, 2, 0, 59, 206, 652, 0, 51], [385, 1, 20, 1, 0, 17, 59, 92, 19, 406], [38, 0, 5, 3, 0, 3, 63, 268, 0, 620]]"
10,32.14,1.7824692055821039,0.4232096180580432,0.3214,0.2587881034392123,1073721382,12.1,76.2,10.0,3.5000000000000004,2.3,84.89999999999999,4.8,53.2,61.5,12.9,"[[121, 112, 78, 14, 6, 133, 1, 72, 442, 21], [1, 762, 0, 6, 0, 65, 2, 72, 72, 20], [9, 32, 100, 13, 16, 675, 8, 114, 30, 3], [3, 36, 13, 35, 2, 773, 3, 123, 8, 4], [6, 22, 45, 4, 23, 653, 31, 186, 30, 0], [1, 20, 11, 11, 1, 849, 3, 93, 9, 2], [0, 20, 16, 46, 10, 761, 48, 89, 7, 3], [0, 30, 9, 10, 3, 386, 1, 532, 18, 11], [12, 189, 23, 5, 2, 77, 0, 52, 615, 25], [2, 463, 5, 9, 0, 74, 1, 165, 152, 129]]"
11,31.03,1.9278270150906742,0.40085095728422093,0.3103,0.25407017628863315,1222849352,88.5,39.7,19.7,57.3,9.1,9.4,64.0,22.5,0.1,0.0,"[[885, 16, 19, 37, 11, 0, 28, 4, 0, 0], [440, 397, 0, 99, 1, 0, 52, 10, 1, 0], [196, 3, 197, 265, 40, 12, 274, 13, 0, 0], [125, 7, 48, 573, 9, 26, 203, 9, 0, 0], [133, 5, 93, 193, 91, 6, 461, 18, 0, 0], [94, 2, 51, 586, 8, 94, 152, 13, 0, 0], [51, 1, 44, 236, 20, 5, 640, 3, 0, 0], [219, 4, 36, 322, 28, 28, 138, 225, 0, 0], [885, 42, 6, 47, 1, 1, 14, 3, 1, 0], [670, 133, 13, 122, 1, 0, 37, 24, 0, 0]]"
12,28.05,2.3702913606509615,0.22035071794183728,0.28049999999999997,0.16615736363992875,1312326134,83.5,78.7,41.4,75.9,0.0,0.0,0.0,1.0,0.0,0.0,"[[835, 79, 44, 42, 0, 0, 0, 0, 0, 0], [154, 787, 5, 54, 0, 0, 0, 0, 0, 0], [176, 28, 414, 382, 0, 0, 0, 0, 0, 0], [89, 42, 110, 759, 0, 0, 0, 0, 0, 0], [125, 34, 423, 418, 0, 0, 0, 0, 0, 0], [65, 23, 123, 789, 0, 0, 0, 0, 0, 0], [31, 40, 260, 668, 1, 0, 0, 0, 0, 0], [220, 76, 139, 554, 1, 0, 0, 10, 0, 0], [780, 154, 15, 51, 0, 0, 0, 0, 0, 0], [375, 507, 17, 101, 0, 0, 0, 0, 0, 0]]"
13,33.45,1.7696515295071342,0.4537326758664082,0.33449999999999996,0.26896580175662577,1461454104,11.600000000000001,2.8000000000000003,10.7,0.0,23.400000000000002,64.1,84.39999999999999,11.3,69.1,57.099999999999994,"[[116, 2, 119, 0, 81, 78, 96, 1, 435, 72], [2, 28, 0, 0, 9, 57, 224, 9, 142, 529], [10, 0, 107, 0, 146, 281, 409, 5, 27, 15], [0, 0, 16, 0, 35, 466, 464, 1, 8, 10], [1, 0, 36, 0, 234, 180, 523, 6, 13, 7], [0, 0, 9, 0, 41, 641, 294, 2, 6, 7], [0, 0, 7, 0, 33, 108, 844, 0, 4, 4], [0, 0, 16, 0, 150, 371, 303, 113, 8, 39], [6, 1, 16, 0, 42, 54, 78, 1, 691, 111], [3, 1, 5, 0, 22, 71, 187, 5, 135, 571]]"
14,33.36,1.9807777526660468,0.3460200390416739,0.3336,0.26460052716355953,1610582073,64.9,82.19999999999999,67.60000000000001,6.0,49.2,31.900000000000002,0.8,31.0,0.0,0.0,"[[649, 57, 250, 1, 32, 4, 0, 7, 0, 0], [85, 822, 54, 4, 17, 8, 0, 10, 0, 0], [53, 17, 676, 3, 190, 44, 0, 17, 0, 0], [13, 38, 522, 60, 157, 185, 3, 22, 0, 0], [30, 20, 403, 2, 492, 23, 1, 29, 0, 0], [12, 16, 477, 17, 127, 319, 1, 31, 0, 0], [7, 24, 430, 43, 446, 33, 8, 9, 0, 0], [31, 27, 318, 4, 218, 92, 0, 310, 0, 0], [659, 171, 134, 1, 22, 7, 0, 6, 0, 0], [194, 591, 151, 5, 21, 5, 0, 33, 0, 0]]"
15,40.5,1.6160877718331335,0.5243177794336109,0.40499999999999997,0.37913499112136534,1759710043,61.0,66.8,23.200000000000003,64.3,63.9,17.1,24.3,39.800000000000004,0.4,44.2,"[[610, 29, 140, 69, 79, 2, 5, 10, 0, 56], [72, 668, 10, 82, 23, 1, 17, 20, 0, 107], [35, 6, 232, 281, 334, 25, 46, 30, 0, 11], [7, 12, 67, 643, 147, 38, 47, 24, 0, 15], [15, 9, 63, 174, 639, 9, 55, 32, 0, 4], [8, 3, 43, 555, 156, 171, 24, 34, 0, 6], [2, 4, 29, 333, 370, 8, 243, 3, 0, 8], [10, 4, 30, 238, 232, 52, 11, 398, 0, 25], [598, 89, 53, 71, 68, 4, 3, 5, 4, 105], [88, 243, 27, 108, 33, 3, 17, 39, 0, 442]]"
16,37.78,1.7211340536324742,0.5616038544767274,0.3778,0.3174587927982015,1908838013,88.2,79.10000000000001,43.3,45.9,42.6,5.0,41.9,30.8,0.3,0.7000000000000001,"[[882, 41, 45, 13, 7, 0, 10, 2, 0, 0], [163, 791, 8, 17, 4, 0, 13, 4, 0, 0], [204, 19, 433, 122, 132, 3, 74, 13, 0, 0], [115, 35, 175, 459, 96, 5, 96, 19, 0, 0], [117, 19, 234, 89, 426, 1, 87, 27, 0, 0], [80, 20, 199, 460, 102, 50, 63, 26, 0, 0], [41, 18, 150, 167, 203, 1, 419, 1, 0, 0], [162, 34, 104, 172, 175, 8, 36, 308, 0, 1], [848, 98, 17, 22, 2, 0, 6, 4, 3, 0], [355, 534, 24, 38, 4, 0, 22, 16, 0, 7]]"
17,39.01,1.6218994105585849,0.48434992047445613,0.3901,0.32264216509955146,2028140389,74.9,0.3,9.700000000000001,1.5,36.8,69.89999999999999,22.7,67.10000000000001,20.8,86.4,"[[749, 0, 10, 1, 14, 22, 5, 25, 22, 152], [46, 3, 1, 1, 3, 18, 6, 21, 18, 883], [152, 0, 97, 5, 191, 323, 39, 126, 1, 66], [46, 0, 14, 15, 49, 588, 40, 143, 2, 103], [62, 0, 17, 4, 368, 232, 32, 246, 0, 39], [32, 0, 8, 4, 53, 699, 15, 153, 2, 34], [15, 0, 12, 37, 217, 310, 227, 108, 0, 74], [29, 0, 5, 2, 33, 186, 6, 671, 1, 67], [459, 1, 1, 3, 7, 33, 2, 19, 208, 267], [51, 0, 1, 2, 0, 29, 3, 42, 8, 864]]"
18,46.06,1.4729710089893768,0.5001686345276644,0.4606,0.4253450967953408,2117617171,42.4,86.8,0.8,34.4,60.4,42.6,42.4,66.0,67.9,16.900000000000002,"[[424, 78, 5, 42, 92, 6, 13, 50, 282, 8], [6, 868, 0, 13, 9, 5, 11, 41, 41, 6], [82, 22, 8, 136, 388, 124, 96, 112, 28, 4], [5, 30, 3, 344, 156, 205, 124, 117, 11, 5], [27, 13, 1, 64, 604, 43, 82, 153, 11, 2], [1, 13, 1, 183, 180, 426, 46, 138, 11, 1], [3, 19, 0, 151, 300, 41, 424, 53, 5, 4], [6, 13, 0, 55, 130, 89, 28, 660, 10, 9], [68, 145, 1, 19, 38, 13, 9, 22, 679, 6], [11, 573, 0, 31, 14, 3, 17, 87, 95, 169]]"
19,43.77,1.5365358596792618,0.5056738544752946,0.4377000000000001,0.39556788019060807,2266745141,71.7,0.2,13.900000000000002,18.7,22.6,73.8,53.800000000000004,51.2,46.6,85.2,"[[717, 0, 13, 21, 6, 27, 15, 7, 93, 101], [35, 2, 0, 7, 0, 23, 15, 5, 40, 873], [159, 0, 139, 73, 61, 324, 136, 43, 11, 54], [44, 0, 23, 187, 8, 521, 104, 37, 11, 65], [82, 0, 56, 41, 226, 282, 159, 113, 6, 35], [28, 0, 21, 74, 18, 738, 46, 43, 8, 24], [18, 0, 19, 130, 44, 192, 538, 14, 4, 41], [53, 0, 7, 34, 21, 258, 32, 512, 1, 82], [304, 1, 4, 14, 1, 35, 6, 4, 466, 165], [46, 0, 1, 19, 0, 19, 12, 14, 37, 852]]"
20,43.23,1.5315880257481584,0.5713472335569011,0.4323,0.3994979983269936,2386047517,31.7,88.4,71.5,42.1,34.599999999999994,39.900000000000006,14.399999999999999,32.4,75.6,1.7000000000000002,"[[317, 56, 246, 21, 6, 5, 3, 4, 342, 0], [4, 884, 30, 19, 4, 2, 1, 2, 54, 0], [22, 17, 715, 88, 64, 53, 5, 5, 31, 0], [2, 31, 303, 421, 44, 160, 13, 7, 19, 0], [9, 17, 459, 87, 346, 38, 11, 16, 17, 0], [2, 13, 283, 219, 54, 399, 5, 10, 15, 0], [1, 18, 327, 287, 173, 38, 144, 1, 11, 0], [4, 33, 195, 98, 203, 118, 5, 324, 17, 3], [37, 106, 69, 17, 8, 7, 0, 0, 756, 0], [8, 694, 76, 43, 9, 4, 3, 8, 138, 17]]"
21,45.45,1.4385860120526517,0.5800731652701441,0.45450000000000007,0.42838910668681657,2490437096,83.0,78.5,15.7,58.3,65.60000000000001,43.3,29.599999999999998,45.800000000000004,20.599999999999998,14.099999999999998,"[[830, 17, 31, 40, 49, 7, 3, 11, 10, 2], [114, 785, 5, 38, 19, 12, 8, 12, 2, 5], [141, 12, 157, 249, 287, 105, 31, 17, 1, 0], [29, 14, 16, 583, 124, 173, 31, 28, 2, 0], [39, 8, 20, 151, 656, 53, 32, 41, 0, 0], [25, 5, 13, 331, 136, 433, 12, 42, 3, 0], [14, 8, 10, 325, 289, 52, 296, 3, 1, 2], [33, 6, 7, 129, 246, 107, 10, 458, 0, 4], [624, 63, 2, 53, 35, 11, 2, 2, 206, 2], [194, 470, 4, 88, 36, 7, 12, 31, 17, 141]]"
22,46.6,1.5242251300583252,0.5683509207034756,0.466,0.4004859970476187,2624652269,68.30000000000001,79.10000000000001,21.5,4.8,10.6,61.0,79.0,82.69999999999999,58.8,0.2,"[[683, 24, 49, 5, 1, 14, 44, 88, 92, 0], [36, 791, 2, 2, 1, 12, 42, 83, 31, 0], [80, 6, 215, 18, 18, 207, 222, 221, 13, 0], [12, 9, 26, 48, 1, 427, 265, 204, 8, 0], [34, 4, 60, 4, 106, 107, 277, 404, 4, 0], [7, 3, 22, 12, 5, 610, 105, 229, 7, 0], [6, 3, 12, 16, 5, 88, 790, 77, 3, 0], [13, 3, 3, 2, 3, 89, 59, 827, 1, 0], [225, 64, 5, 6, 1, 19, 39, 53, 588, 0], [69, 518, 3, 5, 0, 22, 82, 211, 88, 2]]"
23,46.21,1.6850355143745106,0.4404983759702123,0.46210000000000007,0.39200361190583405,2758867441,64.60000000000001,0.0,2.1,0.0,47.599999999999994,76.9,74.3,61.7,47.3,87.6,"[[646, 0, 5, 0, 52, 30, 34, 20, 65, 148], [16, 0, 0, 0, 5, 20, 21, 7, 4, 927], [102, 0, 21, 0, 256, 352, 167, 55, 9, 38], [13, 0, 1, 0, 51, 594, 225, 40, 4, 72], [25, 0, 0, 0, 476, 193, 170, 118, 1, 17], [7, 0, 2, 0, 65, 769, 79, 55, 1, 22], [6, 0, 0, 0, 90, 136, 743, 6, 1, 18], [9, 0, 1, 0, 78, 196, 50, 617, 0, 49], [184, 0, 0, 0, 33, 36, 22, 5, 473, 247], [17, 0, 0, 0, 10, 25, 31, 27, 14, 876]]"
24,42.61,1.619875714040031,0.6013940488989412,0.42610000000000003,0.38440722760327256,2907995410,60.8,96.89999999999999,77.8,19.3,37.8,51.7,13.3,47.4,20.8,0.3,"[[608, 142, 219, 4, 7, 6, 2, 6, 6, 0], [8, 969, 12, 4, 3, 2, 0, 2, 0, 0], [33, 32, 778, 20, 48, 72, 5, 11, 1, 0], [5, 64, 395, 193, 47, 264, 13, 19, 0, 0], [19, 31, 439, 24, 378, 49, 8, 52, 0, 0], [4, 22, 299, 66, 57, 517, 3, 30, 2, 0], [3, 48, 378, 143, 228, 65, 133, 2, 0, 0], [13, 51, 192, 20, 115, 133, 2, 474, 0, 0], [357, 282, 134, 3, 3, 12, 0, 1, 208, 0], [34, 862, 59, 13, 4, 10, 0, 11, 4, 3]]"
25,53.53,1.2709914923856815,0.565212661744793,0.5353,0.5067993993132107,3042210583,71.5,68.2,27.0,3.9,25.2,65.0,76.2,79.80000000000001,54.2,64.3,"[[715, 15, 59, 8, 9, 12, 23, 56, 60, 43], [43, 682, 5, 0, 3, 16, 30, 40, 10, 171], [74, 3, 270, 11, 75, 213, 164, 170, 8, 12], [18, 7, 57, 39, 9, 465, 228, 157, 3, 17], [36, 5, 41, 3, 252, 117, 203, 339, 1, 3], [15, 3, 35, 9, 22, 650, 77, 180, 3, 6], [8, 1, 19, 15, 32, 92, 762, 64, 1, 6], [14, 0, 11, 5, 16, 99, 44, 798, 1, 12], [236, 47, 21, 1, 10, 28, 25, 32, 542, 58], [42, 135, 1, 1, 1, 24, 45, 87, 21, 643]]"
26,46.8,1.4966181328121466,0.5919875043766818,0.4680000000000001,0.3912033408721718,3161512959,82.0,82.8,48.1,2.3,9.700000000000001,56.00000000000001,89.5,74.7,22.2,0.7000000000000001,"[[820, 16, 81, 0, 1, 8, 40, 28, 6, 0], [77, 828, 13, 0, 1, 8, 49, 23, 1, 0], [94, 5, 481, 5, 7, 104, 217, 87, 0, 0], [18, 8, 144, 23, 3, 305, 409, 89, 1, 0], [50, 5, 172, 4, 97, 69, 329, 274, 0, 0], [23, 5, 107, 5, 4, 560, 181, 114, 1, 0], [9, 2, 40, 1, 2, 36, 895, 15, 0, 0], [26, 3, 42, 3, 11, 96, 72, 747, 0, 0], [598, 68, 35, 4, 1, 16, 44, 12, 222, 0], [186, 533, 20, 3, 2, 8, 135, 98, 8, 7]]"
