Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,29.04,2.2729483564821678,0.11230426534030843,0.27235036287054043,0.1514986010557737,6512220,0.0,99.20704845814979,80.03875968992247,0.0,0.0,0.0,7.306889352818372,85.7976653696498,0.0,0.0,"[[0, 11, 689, 0, 0, 0, 211, 69, 0, 0], [0, 1126, 4, 0, 0, 0, 0, 5, 0, 0], [0, 175, 826, 0, 0, 0, 0, 31, 0, 0], [0, 183, 623, 0, 0, 0, 33, 171, 0, 0], [0, 125, 294, 0, 0, 0, 99, 464, 0, 0], [0, 272, 350, 0, 0, 0, 64, 206, 0, 0], [0, 137, 731, 0, 0, 0, 70, 20, 0, 0], [0, 97, 47, 0, 0, 0, 2, 882, 0, 0], [0, 261, 621, 0, 0, 0, 29, 63, 0, 0], [0, 135, 312, 0, 0, 0, 13, 549, 0, 0]]"
2,22.17,2.1756515556250138,0.3538422999546546,0.21256318268772745,0.11907151090140229,13525380,21.73469387755102,99.20704845814979,0.29069767441860467,0.09900990099009901,0.0,0.0,91.23173277661796,0.0,0.0,0.0,"[[213, 3, 0, 0, 0, 0, 764, 0, 0, 0], [0, 1126, 0, 0, 0, 0, 9, 0, 0, 0], [0, 158, 3, 0, 0, 0, 871, 0, 0, 0], [0, 176, 0, 1, 0, 0, 833, 0, 0, 0], [0, 110, 0, 0, 0, 0, 872, 0, 0, 0], [3, 250, 0, 0, 0, 0, 639, 0, 0, 0], [1, 83, 0, 0, 0, 0, 874, 0, 0, 0], [2, 342, 0, 0, 0, 0, 684, 0, 0, 0], [0, 138, 0, 0, 0, 0, 836, 0, 0, 0], [0, 143, 0, 0, 0, 0, 866, 0, 0, 0]]"
3,29.93,1.9362647266814503,0.3096221973282562,0.28151952759022203,0.20002769177555138,20538540,20.0,98.6784140969163,93.9922480620155,4.257425742574258,0.0,0.0,0.0,64.59143968871595,0.0,0.0,"[[196, 3, 775, 0, 0, 0, 0, 6, 0, 0], [0, 1120, 15, 0, 0, 0, 0, 0, 0, 0], [0, 57, 970, 0, 0, 0, 0, 5, 0, 0], [0, 125, 825, 43, 0, 0, 0, 17, 0, 0], [0, 124, 755, 0, 0, 0, 12, 91, 0, 0], [9, 232, 577, 10, 0, 0, 1, 63, 0, 0], [0, 64, 893, 0, 0, 0, 0, 1, 0, 0], [0, 220, 144, 0, 0, 0, 0, 664, 0, 0], [0, 91, 874, 0, 0, 0, 0, 9, 0, 0], [2, 181, 712, 0, 0, 0, 0, 114, 0, 0]]"
4,44.2,1.8092355857641933,0.4867850809722395,0.4375248655643068,0.38813770303092465,27050760,81.63265306122449,96.82819383259911,44.57364341085272,86.13861386138613,0.0,80.26905829596413,27.55741127348643,20.525291828793772,0.0,0.0,"[[800, 1, 0, 2, 0, 177, 0, 0, 0, 0], [0, 1099, 0, 3, 0, 33, 0, 0, 0, 0], [51, 51, 460, 286, 0, 179, 5, 0, 0, 0], [4, 33, 1, 870, 0, 101, 1, 0, 0, 0], [107, 9, 8, 39, 0, 761, 58, 0, 0, 0], [17, 38, 0, 120, 0, 716, 1, 0, 0, 0], [117, 22, 5, 1, 0, 549, 264, 0, 0, 0], [23, 128, 7, 96, 0, 562, 1, 211, 0, 0], [44, 8, 0, 55, 0, 866, 1, 0, 0, 0], [62, 18, 6, 47, 0, 863, 13, 0, 0, 0]]"
5,59.09,1.4265451694068056,0.5140319801308606,0.584808160328024,0.5000016878086531,34564860,86.73469387755102,99.47136563876651,85.27131782945736,70.0,0.0,72.6457399103139,84.34237995824635,83.17120622568093,0.0,3.1714568880079286,"[[850, 2, 2, 0, 0, 71, 52, 3, 0, 0], [0, 1129, 2, 1, 0, 1, 2, 0, 0, 0], [13, 74, 880, 4, 0, 8, 28, 25, 0, 0], [12, 106, 60, 707, 0, 69, 19, 37, 0, 0], [2, 77, 21, 0, 0, 143, 460, 261, 0, 18], [20, 108, 9, 38, 0, 648, 45, 24, 0, 0], [18, 67, 34, 0, 0, 29, 808, 2, 0, 0], [3, 120, 42, 0, 0, 2, 6, 855, 0, 0], [58, 95, 39, 12, 0, 581, 150, 39, 0, 0], [29, 77, 19, 3, 0, 161, 184, 504, 0, 32]]"
6,56.18,1.2943772763109054,0.7479429605077906,0.5560317355364991,0.5229328668654019,39574260,48.775510204081634,98.06167400881057,68.7984496124031,43.26732673267327,0.5091649694501018,69.73094170403587,96.86847599164928,87.84046692607004,10.266940451745379,31.91278493557978,"[[478, 1, 2, 0, 0, 127, 362, 9, 1, 0], [0, 1113, 1, 1, 0, 1, 19, 0, 0, 0], [3, 41, 710, 0, 0, 5, 242, 22, 9, 0], [2, 80, 36, 437, 0, 142, 227, 53, 4, 29], [0, 15, 0, 0, 5, 21, 659, 103, 0, 179], [2, 57, 1, 9, 0, 622, 152, 41, 0, 8], [1, 20, 1, 0, 0, 7, 928, 1, 0, 0], [0, 58, 22, 0, 0, 0, 42, 903, 1, 2], [0, 39, 3, 0, 0, 276, 521, 31, 100, 4], [1, 19, 1, 1, 0, 40, 297, 328, 0, 322]]"
7,61.2,1.2239828155444452,0.7150566908097842,0.6034463537289072,0.5687515065924861,44583660,93.46938775510203,99.55947136563876,81.78294573643412,83.56435643564356,0.10183299389002036,52.80269058295964,53.5490605427975,55.15564202334631,23.203285420944557,60.257680872150644,"[[916, 4, 3, 13, 0, 27, 3, 1, 12, 1], [0, 1130, 3, 2, 0, 0, 0, 0, 0, 0], [14, 128, 844, 17, 0, 2, 5, 5, 13, 4], [0, 119, 27, 844, 0, 10, 2, 3, 2, 3], [17, 165, 40, 9, 1, 119, 118, 0, 1, 512], [16, 160, 18, 214, 0, 471, 9, 1, 1, 2], [39, 118, 258, 1, 0, 26, 513, 0, 1, 2], [3, 282, 41, 21, 0, 19, 0, 567, 1, 94], [31, 180, 46, 213, 0, 260, 7, 0, 226, 11], [26, 186, 35, 39, 0, 105, 7, 3, 0, 608]]"
8,68.07,0.9740636657221249,0.7278922246115338,0.6710439241178703,0.6148479524416478,50594940,98.67346938775509,99.03083700440529,79.94186046511628,87.92079207920793,1.6293279022403258,36.54708520179372,93.31941544885177,77.14007782101167,8.932238193018481,87.90882061446978,"[[967, 1, 0, 0, 0, 0, 7, 1, 0, 4], [0, 1124, 1, 4, 0, 0, 5, 0, 0, 1], [38, 58, 825, 15, 2, 0, 61, 17, 8, 8], [20, 32, 18, 888, 0, 0, 11, 13, 0, 28], [11, 14, 1, 0, 16, 1, 204, 1, 0, 734], [128, 50, 3, 193, 9, 326, 65, 17, 0, 101], [34, 23, 1, 0, 1, 3, 894, 0, 0, 2], [8, 70, 40, 5, 0, 0, 2, 793, 0, 110], [273, 54, 16, 127, 0, 78, 116, 8, 87, 215], [37, 18, 4, 9, 1, 2, 32, 19, 0, 887]]"
9,62.3,1.0715977787590636,0.7408265479546935,0.611713005038095,0.5421869875653822,55604340,98.26530612244898,82.20264317180617,94.86434108527132,69.3069306930693,1.5274949083503055,6.950672645739911,85.59498956158664,82.97665369649806,9.548254620123203,80.47571853320119,"[[963, 0, 8, 0, 0, 0, 8, 1, 0, 0], [0, 933, 185, 4, 0, 1, 11, 0, 0, 1], [13, 1, 979, 0, 0, 0, 21, 14, 0, 4], [39, 2, 226, 700, 0, 0, 7, 19, 0, 17], [7, 0, 40, 0, 15, 0, 346, 5, 0, 569], [323, 17, 66, 158, 2, 62, 132, 37, 5, 90], [22, 3, 112, 0, 1, 0, 820, 0, 0, 0], [6, 12, 97, 0, 0, 0, 2, 853, 0, 58], [301, 0, 383, 9, 0, 0, 91, 15, 93, 82], [51, 4, 38, 5, 1, 0, 53, 45, 0, 812]]"
10,60.95,1.030984589086173,0.6929228968371498,0.6041726881092218,0.5616393236340034,61114680,40.91836734693878,99.38325991189427,64.24418604651163,93.16831683168317,0.30549898167006106,89.57399103139014,76.82672233820459,73.15175097276264,0.0,66.6005946481665,"[[401, 1, 0, 2, 0, 572, 1, 1, 0, 2], [0, 1128, 0, 4, 0, 3, 0, 0, 0, 0], [12, 96, 663, 158, 0, 48, 31, 14, 1, 9], [0, 20, 2, 941, 0, 36, 1, 7, 0, 3], [1, 23, 2, 6, 3, 283, 46, 0, 0, 618], [0, 19, 1, 67, 0, 799, 4, 1, 0, 1], [11, 40, 4, 2, 0, 157, 736, 0, 0, 8], [2, 89, 16, 41, 0, 49, 0, 752, 0, 79], [0, 36, 0, 153, 0, 773, 4, 1, 0, 7], [4, 21, 4, 20, 0, 279, 6, 3, 0, 672]]"
11,73.64,0.8108449487830884,0.6986404325728126,0.7315520869027768,0.6863176123054868,68628780,92.9591836734694,93.3920704845815,89.05038759689923,93.56435643564357,0.0,74.77578475336323,95.4070981210856,85.50583657587548,27.41273100616016,79.48463825569871,"[[911, 0, 1, 7, 0, 28, 29, 1, 3, 0], [0, 1060, 26, 21, 0, 3, 23, 0, 2, 0], [10, 1, 919, 21, 0, 2, 52, 15, 9, 3], [1, 3, 25, 945, 0, 12, 5, 13, 1, 5], [1, 1, 12, 6, 0, 26, 334, 3, 0, 599], [9, 3, 8, 130, 0, 667, 65, 7, 0, 3], [13, 1, 16, 1, 0, 12, 914, 0, 0, 1], [3, 16, 62, 18, 0, 1, 3, 879, 0, 46], [9, 0, 45, 226, 0, 287, 109, 9, 267, 22], [12, 5, 18, 33, 0, 41, 60, 38, 0, 802]]"
12,74.85,0.7486313688107573,0.7130097916067696,0.7428984996833246,0.698769898102793,74139120,93.57142857142857,97.44493392070484,92.05426356589147,86.33663366336634,0.0,75.22421524663677,94.57202505219206,89.98054474708171,26.796714579055443,86.9177403369673,"[[917, 0, 10, 0, 0, 21, 26, 1, 4, 1], [0, 1106, 19, 2, 0, 1, 5, 1, 0, 1], [9, 6, 950, 7, 0, 0, 26, 24, 4, 6], [1, 8, 74, 872, 0, 7, 4, 33, 1, 10], [0, 5, 12, 0, 0, 1, 130, 9, 0, 825], [16, 16, 18, 69, 0, 671, 57, 19, 0, 26], [12, 5, 26, 1, 0, 6, 906, 0, 0, 2], [2, 18, 51, 1, 0, 0, 0, 925, 0, 31], [16, 23, 187, 90, 0, 165, 86, 38, 261, 108], [7, 7, 19, 12, 0, 5, 7, 75, 0, 877]]"
13,76.66,0.6709406456817835,0.8300995558590124,0.7603581116321815,0.733494287937131,81653220,96.93877551020408,96.29955947136564,87.79069767441861,90.6930693069307,5.193482688391039,57.17488789237668,97.80793319415449,84.3385214007782,51.95071868583162,92.17046580773042,"[[950, 0, 0, 0, 0, 1, 24, 1, 4, 0], [0, 1093, 13, 4, 0, 1, 20, 0, 3, 1], [12, 4, 906, 9, 0, 0, 65, 20, 7, 9], [3, 4, 34, 916, 0, 2, 11, 20, 3, 17], [0, 2, 4, 0, 51, 0, 177, 2, 0, 746], [33, 10, 4, 144, 3, 510, 117, 13, 12, 46], [13, 2, 3, 1, 1, 0, 937, 0, 0, 1], [2, 15, 49, 3, 0, 0, 3, 867, 0, 89], [36, 5, 45, 93, 0, 9, 168, 12, 506, 100], [12, 6, 4, 12, 1, 1, 17, 25, 1, 930]]"
14,77.18,0.6464359243266499,0.8201332393626617,0.7669210829755254,0.7381901145759245,89167320,99.08163265306122,97.18061674008811,85.07751937984496,91.1881188118812,17.311608961303463,76.12107623318386,96.24217118997912,88.42412451361868,24.02464065708419,92.26957383548068,"[[971, 0, 1, 0, 0, 3, 3, 1, 0, 1], [0, 1103, 13, 3, 0, 2, 10, 0, 1, 3], [31, 5, 878, 11, 6, 0, 52, 33, 8, 8], [12, 4, 16, 921, 1, 7, 5, 28, 0, 16], [3, 1, 3, 1, 170, 0, 69, 3, 0, 732], [41, 3, 2, 61, 7, 679, 54, 15, 0, 30], [21, 4, 2, 0, 1, 5, 922, 0, 0, 3], [3, 9, 27, 6, 4, 0, 1, 909, 0, 69], [112, 5, 31, 100, 1, 197, 91, 30, 234, 173], [15, 3, 3, 9, 2, 3, 4, 39, 0, 931]]"
15,79.85,0.6028293584482357,0.8437832781734761,0.7939861115462596,0.770158525615783,96681420,98.46938775510205,96.74008810572687,92.34496124031007,86.93069306930693,6.619144602851323,69.84304932735425,95.61586638830897,82.78210116731518,72.07392197125256,92.56689791873141,"[[965, 0, 2, 0, 0, 2, 4, 1, 5, 1], [0, 1098, 23, 2, 0, 1, 7, 0, 4, 0], [10, 4, 953, 6, 1, 0, 28, 15, 8, 7], [7, 7, 68, 878, 0, 3, 5, 20, 12, 10], [2, 6, 10, 0, 65, 2, 116, 1, 5, 775], [35, 12, 15, 76, 2, 623, 65, 10, 32, 22], [17, 4, 17, 1, 1, 1, 916, 0, 0, 1], [3, 18, 60, 1, 1, 0, 1, 851, 0, 93], [30, 5, 86, 33, 0, 11, 52, 9, 702, 46], [13, 10, 8, 9, 1, 3, 3, 22, 6, 934]]"
16,80.25,0.5859617287168106,0.8435720489445755,0.7986417583801356,0.7740018048468457,104195520,97.24489795918367,98.32599118942731,86.82170542635659,94.95049504950495,6.517311608961303,81.39013452914799,91.33611691022965,85.99221789883269,64.78439425051334,91.2784935579782,"[[953, 1, 0, 3, 0, 13, 1, 1, 7, 1], [0, 1116, 1, 7, 0, 3, 4, 0, 4, 0], [15, 18, 896, 26, 2, 0, 22, 24, 22, 7], [1, 5, 9, 959, 0, 11, 1, 14, 3, 7], [6, 14, 7, 2, 64, 9, 42, 1, 5, 832], [20, 11, 5, 88, 2, 726, 20, 7, 4, 9], [21, 6, 15, 2, 1, 34, 875, 0, 2, 2], [3, 31, 32, 14, 0, 0, 0, 884, 0, 64], [11, 17, 15, 135, 0, 94, 16, 11, 631, 44], [10, 10, 6, 19, 1, 11, 1, 28, 2, 921]]"
