Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,46.87,1.5648030575852805,0.4025652116252692,0.46869999999999995,0.3825981115009808,11479352,0.0,81.39999999999999,87.3,61.5,0.0,11.899999999999999,38.5,0.0,94.6,93.5,"[[0, 6, 52, 67, 0, 9, 826, 0, 36, 4], [0, 814, 17, 75, 0, 0, 89, 0, 1, 4], [0, 1, 873, 4, 0, 2, 95, 0, 23, 2], [0, 36, 20, 615, 0, 1, 306, 0, 17, 5], [0, 4, 715, 24, 0, 3, 225, 0, 28, 1], [0, 1, 0, 0, 0, 119, 8, 0, 370, 502], [0, 6, 518, 21, 0, 7, 385, 0, 60, 3], [0, 0, 0, 0, 0, 12, 0, 0, 751, 237], [0, 1, 33, 2, 0, 0, 5, 0, 946, 13], [0, 1, 1, 0, 0, 0, 8, 0, 55, 935]]"
2,49.83,1.097245437268632,0.6188068457595588,0.4983000000000001,0.4268017591609401,24393623,2.4,93.7,11.5,18.8,92.9,89.9,16.8,2.6,86.9,82.8,"[[24, 83, 2, 70, 215, 14, 576, 0, 15, 1], [0, 937, 3, 5, 50, 3, 1, 0, 1, 0], [0, 5, 115, 2, 809, 3, 56, 0, 10, 0], [1, 542, 0, 188, 251, 3, 15, 0, 0, 0], [0, 31, 16, 9, 929, 3, 7, 0, 4, 1], [0, 3, 0, 4, 0, 899, 7, 4, 14, 69], [2, 31, 31, 38, 691, 14, 168, 0, 23, 2], [0, 0, 0, 0, 0, 940, 0, 26, 6, 28], [0, 3, 0, 17, 60, 35, 6, 5, 869, 5], [0, 1, 3, 3, 2, 145, 13, 0, 5, 828]]"
3,53.91,1.179175380319833,0.5950234896774358,0.5391,0.4868670878058178,37307894,53.800000000000004,80.5,31.900000000000002,96.1,71.8,97.7,18.2,0.0,82.69999999999999,6.4,"[[538, 9, 5, 376, 4, 8, 48, 0, 12, 0], [2, 805, 7, 171, 13, 1, 0, 0, 1, 0], [24, 0, 319, 47, 420, 4, 177, 0, 8, 1], [7, 7, 0, 961, 9, 0, 14, 0, 2, 0], [0, 0, 33, 206, 718, 0, 35, 0, 7, 1], [0, 2, 0, 13, 0, 977, 4, 0, 1, 3], [90, 3, 51, 266, 375, 9, 182, 0, 23, 1], [0, 0, 0, 0, 0, 998, 0, 0, 2, 0], [0, 3, 5, 58, 16, 63, 28, 0, 827, 0], [0, 1, 0, 35, 2, 828, 11, 0, 59, 64]]"
4,62.28,0.9377664457113979,0.7408041281943804,0.6228,0.5954078153629025,48787246,51.300000000000004,93.10000000000001,6.3,79.10000000000001,41.6,93.10000000000001,77.9,79.2,88.3,12.9,"[[513, 14, 0, 105, 5, 7, 342, 0, 14, 0], [0, 931, 3, 30, 8, 1, 26, 0, 1, 0], [6, 1, 63, 9, 122, 2, 785, 1, 10, 1], [8, 65, 0, 791, 19, 1, 113, 0, 3, 0], [0, 7, 10, 59, 416, 0, 501, 0, 6, 1], [0, 1, 0, 6, 0, 931, 7, 45, 9, 1], [60, 6, 9, 71, 39, 9, 779, 0, 26, 1], [0, 0, 0, 0, 0, 198, 0, 792, 10, 0], [0, 3, 0, 20, 6, 37, 43, 7, 883, 1], [0, 1, 0, 3, 0, 722, 25, 48, 72, 129]]"
5,71.55,0.8189204532307939,0.7258456281240767,0.7155,0.6948015828087828,63136436,88.6,93.8,55.900000000000006,73.1,78.60000000000001,77.5,8.200000000000001,97.0,76.0,66.8,"[[886, 12, 10, 62, 8, 5, 14, 0, 2, 1], [13, 938, 11, 24, 11, 1, 1, 0, 0, 1], [124, 1, 559, 6, 296, 1, 10, 1, 2, 0], [131, 81, 3, 731, 48, 0, 6, 0, 0, 0], [13, 10, 134, 40, 786, 1, 14, 0, 1, 1], [2, 4, 0, 6, 0, 775, 1, 187, 1, 24], [371, 10, 167, 24, 331, 7, 82, 0, 3, 5], [0, 0, 0, 0, 0, 20, 0, 970, 3, 7], [19, 4, 30, 30, 37, 32, 45, 15, 760, 28], [12, 1, 4, 7, 2, 72, 3, 231, 0, 668]]"
6,69.47,0.7637104154013978,0.7579416695483728,0.6947000000000001,0.697634938745836,70311031,72.3,87.2,27.500000000000004,74.0,40.0,50.7,72.2,90.7,87.3,92.80000000000001,"[[723, 2, 3, 56, 4, 2, 203, 0, 6, 1], [16, 872, 8, 49, 7, 0, 46, 0, 1, 1], [12, 0, 275, 3, 107, 0, 601, 0, 2, 0], [57, 11, 1, 740, 12, 0, 177, 0, 0, 2], [0, 3, 112, 37, 400, 0, 444, 0, 3, 1], [0, 1, 0, 1, 0, 507, 9, 329, 17, 136], [156, 1, 53, 23, 30, 3, 722, 0, 11, 1], [0, 0, 0, 0, 0, 0, 0, 907, 4, 89], [0, 1, 0, 10, 5, 4, 79, 7, 873, 21], [0, 1, 0, 0, 0, 1, 11, 58, 1, 928]]"
7,64.66,0.9167118600953501,0.7081842056671916,0.6466,0.6053805159757367,77485626,81.8,95.39999999999999,95.7,30.599999999999998,12.5,81.0,5.0,98.2,87.1,59.3,"[[818, 57, 74, 5, 3, 5, 31, 1, 6, 0], [6, 954, 25, 10, 0, 4, 0, 0, 1, 0], [16, 6, 957, 1, 12, 1, 5, 0, 2, 0], [100, 431, 100, 306, 46, 1, 14, 1, 1, 0], [2, 36, 824, 6, 125, 0, 3, 0, 3, 1], [0, 1, 1, 0, 0, 810, 1, 155, 4, 28], [262, 28, 628, 4, 13, 5, 50, 0, 9, 1], [0, 0, 0, 0, 0, 11, 0, 982, 3, 4], [2, 2, 59, 2, 2, 30, 11, 18, 871, 3], [0, 1, 11, 0, 0, 29, 3, 357, 6, 593]]"
8,74.47,0.7520601563750745,0.7522461958406083,0.7446999999999999,0.7149575016160779,87530059,80.0,95.0,54.900000000000006,86.6,88.8,90.7,5.0,62.5,92.2,89.0,"[[800, 17, 16, 124, 12, 5, 13, 0, 12, 1], [4, 950, 8, 26, 7, 4, 0, 0, 1, 0], [28, 6, 549, 23, 375, 1, 8, 1, 7, 2], [27, 52, 11, 866, 35, 1, 4, 0, 3, 1], [2, 6, 40, 54, 888, 2, 2, 0, 5, 1], [0, 1, 0, 4, 0, 907, 1, 8, 31, 48], [237, 4, 121, 114, 441, 11, 50, 0, 21, 1], [0, 0, 0, 0, 0, 215, 0, 625, 79, 81], [1, 2, 20, 14, 7, 20, 7, 3, 922, 4], [2, 1, 2, 6, 0, 17, 3, 21, 58, 890]]"
9,63.12,0.9643206608752473,0.7119293503286475,0.6312000000000001,0.5828123392163698,94704654,92.60000000000001,96.39999999999999,45.6,14.000000000000002,86.9,94.6,20.1,95.8,64.1,21.099999999999998,"[[926, 25, 5, 2, 8, 10, 17, 4, 3, 0], [18, 964, 5, 0, 4, 9, 0, 0, 0, 0], [110, 9, 456, 0, 331, 6, 85, 1, 2, 0], [341, 392, 1, 140, 83, 23, 18, 2, 0, 0], [18, 22, 42, 1, 869, 9, 37, 0, 1, 1], [0, 1, 0, 0, 0, 946, 1, 51, 0, 1], [372, 18, 75, 1, 305, 22, 201, 0, 5, 1], [0, 0, 0, 0, 0, 41, 0, 958, 0, 1], [21, 5, 7, 0, 24, 145, 59, 95, 641, 3], [3, 0, 0, 0, 1, 328, 0, 457, 0, 211]]"
10,72.19,0.921041805332842,0.748341230886791,0.7219,0.6922923939455108,103314168,74.5,95.0,87.3,89.0,57.9,84.8,0.2,98.7,76.8,57.699999999999996,"[[745, 15, 74, 150, 5, 4, 1, 0, 5, 1], [0, 950, 18, 29, 2, 1, 0, 0, 0, 0], [8, 1, 873, 16, 101, 0, 0, 1, 0, 0], [11, 32, 41, 890, 25, 0, 0, 0, 0, 1], [1, 4, 359, 56, 579, 0, 0, 0, 1, 0], [0, 3, 1, 5, 2, 848, 0, 115, 3, 23], [179, 3, 518, 141, 147, 5, 2, 0, 4, 1], [0, 0, 0, 0, 0, 10, 0, 987, 1, 2], [2, 4, 102, 33, 52, 16, 1, 15, 768, 7], [0, 1, 8, 5, 1, 20, 0, 384, 4, 577]]"
11,76.12,0.6493009468808342,0.7826489359269925,0.7612,0.7386284356006613,117663358,89.9,94.3,89.3,83.6,42.5,92.60000000000001,9.0,78.7,90.2,91.10000000000001,"[[899, 6, 21, 50, 2, 2, 12, 0, 7, 1], [12, 943, 15, 23, 3, 2, 1, 0, 1, 0], [42, 0, 893, 10, 48, 0, 4, 1, 2, 0], [87, 21, 25, 836, 21, 1, 7, 0, 1, 1], [4, 4, 490, 57, 425, 0, 16, 0, 3, 1], [1, 1, 0, 1, 0, 926, 1, 18, 5, 47], [339, 2, 465, 30, 56, 5, 90, 0, 12, 1], [0, 0, 0, 0, 0, 135, 0, 787, 3, 75], [8, 2, 33, 8, 0, 18, 20, 4, 902, 5], [4, 1, 4, 0, 0, 24, 1, 52, 3, 911]]"
12,71.48,0.8299596270623679,0.7766828949273558,0.7148,0.6796868237886619,126272872,72.6,94.5,97.39999999999999,81.69999999999999,2.1,92.4,14.299999999999999,91.7,93.4,74.7,"[[726, 10, 83, 76, 0, 3, 88, 0, 14, 0], [0, 945, 28, 22, 0, 2, 2, 0, 1, 0], [8, 0, 974, 9, 0, 0, 6, 0, 3, 0], [29, 51, 83, 817, 3, 0, 12, 0, 4, 1], [0, 5, 908, 52, 21, 0, 10, 0, 4, 0], [0, 1, 0, 1, 0, 924, 1, 46, 9, 18], [179, 7, 602, 38, 1, 4, 143, 0, 26, 0], [0, 0, 0, 0, 0, 55, 0, 917, 7, 21], [0, 2, 35, 6, 0, 13, 5, 4, 934, 1], [0, 1, 3, 1, 0, 87, 2, 149, 10, 747]]"
13,73.74,0.7205116728814646,0.7671528818133903,0.7373999999999999,0.716358441633801,140622062,82.19999999999999,95.1,23.0,90.9,90.4,97.3,19.5,74.2,88.2,76.6,"[[822, 8, 1, 119, 7, 4, 31, 0, 8, 0], [6, 951, 4, 30, 5, 3, 1, 0, 0, 0], [32, 3, 230, 35, 531, 2, 164, 1, 2, 0], [28, 20, 1, 909, 29, 0, 13, 0, 0, 0], [1, 4, 2, 61, 904, 2, 23, 0, 2, 1], [0, 1, 0, 2, 0, 973, 1, 11, 0, 12], [263, 2, 23, 93, 402, 11, 195, 0, 10, 1], [0, 0, 0, 0, 0, 228, 0, 742, 0, 30], [3, 2, 1, 16, 17, 40, 32, 4, 882, 3], [0, 0, 0, 4, 1, 170, 1, 56, 2, 766]]"
14,72.86,0.7865924606688868,0.7817550632925518,0.7285999999999999,0.6934725475409935,154971252,86.5,95.19999999999999,95.3,83.39999999999999,2.9000000000000004,96.6,20.1,77.10000000000001,81.5,90.0,"[[865, 7, 40, 53, 0, 2, 30, 0, 3, 0], [5, 952, 19, 20, 0, 2, 2, 0, 0, 0], [20, 0, 953, 12, 0, 0, 15, 0, 0, 0], [49, 61, 42, 834, 2, 0, 12, 0, 0, 0], [1, 6, 817, 92, 29, 0, 53, 0, 1, 1], [0, 1, 0, 1, 0, 966, 1, 14, 2, 15], [306, 6, 446, 30, 1, 5, 201, 0, 4, 1], [0, 0, 0, 0, 0, 147, 0, 771, 3, 79], [3, 2, 52, 13, 1, 41, 65, 5, 815, 3], [1, 1, 1, 2, 0, 55, 3, 36, 1, 900]]"
15,75.77,0.7051360778534375,0.7724422594438939,0.7577,0.7262894763111657,169320442,84.1,95.5,55.900000000000006,89.5,90.2,88.1,2.8000000000000003,98.4,88.5,64.7,"[[841, 10, 13, 109, 12, 4, 1, 0, 10, 0], [3, 955, 6, 26, 5, 4, 0, 0, 1, 0], [34, 3, 559, 21, 375, 2, 2, 1, 3, 0], [28, 22, 10, 895, 41, 0, 3, 0, 0, 1], [2, 5, 31, 55, 902, 0, 2, 0, 2, 1], [0, 1, 0, 3, 0, 881, 0, 110, 0, 5], [286, 5, 114, 85, 458, 8, 28, 0, 15, 1], [0, 0, 0, 0, 0, 10, 0, 984, 0, 6], [4, 3, 19, 13, 9, 29, 13, 22, 885, 3], [0, 0, 0, 3, 0, 73, 0, 274, 3, 647]]"
16,74.9,0.6567908712564566,0.7833997092660776,0.7489999999999999,0.7303233958499064,183669632,88.4,95.5,87.8,83.1,54.2,86.2,16.900000000000002,99.0,92.2,45.7,"[[884, 7, 28, 45, 7, 2, 18, 0, 9, 0], [8, 955, 11, 20, 3, 1, 1, 0, 1, 0], [28, 2, 878, 10, 70, 1, 8, 0, 3, 0], [60, 21, 31, 831, 40, 0, 14, 0, 3, 0], [1, 4, 394, 27, 542, 0, 30, 0, 2, 0], [0, 1, 0, 3, 0, 862, 1, 124, 6, 3], [319, 2, 369, 23, 95, 4, 169, 0, 19, 0], [0, 0, 0, 0, 0, 6, 0, 990, 2, 2], [3, 3, 26, 8, 1, 12, 16, 8, 922, 1], [1, 0, 0, 3, 0, 50, 2, 473, 14, 457]]"
17,78.76,0.5717017434466,0.7985401290961825,0.7876000000000001,0.768387929747588,195148984,85.2,95.0,85.7,80.7,69.89999999999999,82.1,12.1,89.2,95.19999999999999,92.5,"[[852, 4, 41, 48, 11, 2, 26, 0, 15, 1], [6, 950, 11, 25, 5, 0, 1, 0, 2, 0], [16, 1, 857, 6, 110, 0, 6, 0, 4, 0], [45, 17, 49, 807, 67, 0, 9, 0, 6, 0], [0, 4, 264, 16, 699, 0, 12, 0, 4, 1], [0, 1, 0, 0, 0, 821, 1, 84, 37, 56], [277, 2, 368, 24, 173, 3, 121, 0, 32, 0], [0, 0, 0, 0, 0, 6, 0, 892, 17, 85], [2, 2, 27, 5, 1, 4, 3, 3, 952, 1], [1, 0, 0, 1, 0, 12, 1, 51, 9, 925]]"
18,73.91,0.6869708713822471,0.7606373289708203,0.7391000000000001,0.710423684692896,203758498,79.7,96.1,59.0,89.0,90.9,97.2,9.9,90.0,87.1,40.2,"[[797, 9, 17, 125, 11, 8, 25, 0, 8, 0], [1, 961, 5, 23, 5, 4, 0, 0, 1, 0], [25, 5, 590, 19, 336, 3, 18, 1, 3, 0], [19, 28, 12, 890, 39, 3, 9, 0, 0, 0], [1, 5, 34, 40, 909, 2, 6, 0, 2, 1], [0, 0, 0, 3, 0, 972, 0, 25, 0, 0], [235, 3, 120, 99, 417, 12, 99, 0, 14, 1], [0, 0, 0, 0, 0, 96, 0, 900, 0, 4], [3, 2, 15, 8, 12, 65, 18, 5, 871, 1], [0, 1, 0, 3, 0, 303, 0, 291, 0, 402]]"
19,79.11,0.5722594781043812,0.8029250510316974,0.7910999999999999,0.7837075990763834,218107688,86.3,95.89999999999999,83.8,81.3,62.7,79.80000000000001,32.1,98.6,96.5,74.1,"[[863, 7, 29, 38, 5, 2, 39, 0, 17, 0], [6, 959, 10, 16, 4, 1, 2, 0, 2, 0], [20, 1, 838, 6, 81, 0, 41, 1, 12, 0], [55, 23, 32, 813, 40, 1, 28, 0, 8, 0], [1, 4, 272, 24, 627, 0, 66, 0, 5, 1], [0, 1, 0, 0, 0, 798, 1, 149, 30, 21], [283, 2, 234, 20, 99, 3, 321, 0, 38, 0], [0, 0, 0, 0, 0, 2, 0, 986, 4, 8], [3, 2, 14, 2, 0, 4, 5, 5, 965, 0], [1, 0, 0, 0, 0, 16, 1, 228, 13, 741]]"
20,79.06,0.5472573025729328,0.8064161284414245,0.7906,0.7741253073453505,229587040,85.6,95.5,89.4,89.3,47.4,87.2,18.6,90.5,94.1,93.0,"[[856, 5, 26, 82, 1, 3, 15, 0, 12, 0], [3, 955, 10, 27, 1, 1, 2, 0, 1, 0], [25, 1, 894, 17, 46, 0, 13, 1, 3, 0], [33, 14, 30, 893, 16, 0, 11, 0, 3, 0], [1, 4, 418, 62, 474, 0, 37, 0, 4, 0], [0, 0, 0, 1, 0, 872, 1, 61, 14, 51], [302, 2, 357, 51, 74, 4, 186, 0, 24, 0], [0, 0, 0, 0, 0, 8, 0, 905, 3, 84], [4, 2, 24, 7, 0, 5, 10, 4, 941, 3], [2, 0, 0, 0, 0, 10, 0, 54, 4, 930]]"
21,76.51,0.599540295549475,0.8083570183472247,0.7651000000000001,0.7391929035631624,239631473,81.10000000000001,94.5,93.2,91.7,13.5,91.5,24.9,93.60000000000001,93.60000000000001,87.5,"[[811, 5, 34, 107, 0, 3, 29, 0, 11, 0], [2, 945, 13, 37, 0, 0, 2, 0, 1, 0], [20, 2, 932, 20, 5, 0, 17, 0, 4, 0], [23, 12, 30, 917, 1, 0, 15, 0, 2, 0], [0, 3, 695, 107, 135, 0, 56, 0, 4, 0], [0, 0, 0, 4, 0, 915, 1, 51, 5, 24], [258, 2, 379, 77, 10, 4, 249, 0, 21, 0], [0, 0, 0, 0, 0, 22, 0, 936, 3, 39], [1, 3, 28, 9, 0, 6, 13, 3, 936, 1], [1, 0, 0, 3, 0, 18, 0, 101, 2, 875]]"
22,79.65,0.5609852575932067,0.8033885075098715,0.7965,0.7791321550428116,252545744,81.3,95.19999999999999,82.69999999999999,91.60000000000001,69.5,96.0,17.8,90.8,93.8,77.8,"[[813, 5, 21, 122, 5, 2, 20, 0, 12, 0], [2, 952, 10, 30, 2, 1, 2, 0, 1, 0], [23, 2, 827, 20, 110, 0, 13, 1, 4, 0], [20, 15, 21, 916, 20, 0, 6, 0, 2, 0], [1, 4, 217, 61, 695, 0, 20, 0, 2, 0], [0, 0, 0, 4, 0, 960, 0, 26, 2, 8], [261, 2, 257, 89, 184, 4, 178, 0, 25, 0], [0, 0, 0, 0, 0, 71, 0, 908, 2, 19], [3, 3, 22, 10, 2, 10, 9, 3, 938, 0], [0, 0, 0, 3, 0, 66, 0, 152, 1, 778]]"
23,78.51,0.558324180519619,0.8043346338425342,0.7850999999999999,0.7815064685186557,265460015,84.89999999999999,95.5,44.9,84.89999999999999,79.0,91.4,52.5,98.1,94.0,59.9,"[[849, 3, 4, 51, 6, 2, 74, 0, 11, 0], [5, 955, 6, 21, 6, 1, 5, 0, 1, 0], [24, 1, 449, 12, 219, 0, 289, 1, 5, 0], [41, 18, 1, 849, 44, 0, 46, 0, 1, 0], [2, 2, 30, 26, 790, 0, 147, 0, 2, 1], [0, 0, 0, 2, 0, 914, 1, 65, 10, 8], [264, 2, 61, 27, 101, 3, 525, 0, 17, 0], [0, 0, 0, 0, 0, 14, 0, 981, 2, 3], [4, 3, 2, 5, 2, 6, 35, 3, 940, 0], [0, 0, 0, 2, 0, 52, 2, 333, 12, 599]]"
24,80.48,0.5252210734941708,0.8167133410900501,0.8048,0.8058983407645236,279809205,75.4,96.3,64.7,89.0,57.4,96.6,62.6,89.9,91.10000000000001,81.8,"[[754, 7, 8, 89, 1, 4, 127, 0, 10, 0], [2, 963, 6, 23, 1, 3, 1, 0, 1, 0], [17, 2, 647, 16, 78, 1, 234, 1, 4, 0], [24, 24, 4, 890, 14, 1, 42, 0, 1, 0], [0, 3, 119, 69, 574, 1, 231, 0, 2, 1], [0, 1, 0, 2, 0, 966, 0, 25, 0, 6], [166, 3, 93, 54, 38, 5, 626, 0, 15, 0], [0, 0, 0, 0, 0, 77, 0, 899, 1, 23], [1, 3, 5, 11, 0, 26, 39, 3, 911, 1], [0, 0, 0, 3, 0, 60, 0, 118, 1, 818]]"
25,78.88,0.5720306951017045,0.7928611967645753,0.7888,0.7701663928560271,292723476,76.0,97.6,71.0,81.39999999999999,87.7,93.89999999999999,15.4,95.8,92.9,77.10000000000001,"[[760, 15, 28, 123, 15, 2, 45, 0, 12, 0], [0, 976, 5, 11, 4, 2, 1, 0, 1, 0], [16, 2, 710, 16, 237, 0, 14, 1, 4, 0], [16, 92, 24, 814, 46, 1, 7, 0, 0, 0], [0, 10, 74, 28, 877, 0, 8, 0, 2, 1], [0, 3, 0, 3, 0, 939, 0, 42, 2, 11], [197, 8, 176, 96, 343, 4, 154, 0, 22, 0], [0, 0, 0, 0, 0, 27, 0, 958, 2, 13], [1, 3, 18, 11, 10, 14, 9, 4, 929, 1], [0, 0, 0, 3, 0, 33, 0, 190, 3, 771]]"
26,75.09,0.6934297108612122,0.7716497285206538,0.7509,0.7258756531930673,304202828,89.7,96.39999999999999,85.0,87.4,69.19999999999999,99.1,7.000000000000001,69.39999999999999,84.1,63.6,"[[897, 7, 20, 59, 5, 2, 7, 0, 3, 0], [4, 964, 6, 21, 2, 2, 1, 0, 0, 0], [31, 2, 850, 17, 99, 0, 1, 0, 0, 0], [45, 22, 29, 874, 27, 0, 3, 0, 0, 0], [1, 5, 247, 50, 692, 0, 4, 0, 0, 1], [0, 0, 0, 3, 0, 991, 0, 4, 0, 2], [341, 2, 344, 37, 199, 5, 70, 0, 2, 0], [0, 0, 0, 0, 0, 290, 0, 694, 1, 15], [21, 3, 44, 13, 19, 28, 28, 2, 841, 1], [2, 2, 1, 2, 0, 240, 0, 117, 0, 636]]"
