Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,10.0,2.310813271580413,0.01000100010001,0.1,0.018183471224656786,119303456,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 999, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,13.48,2.3285013867643314,0.12757220802245609,0.13479999999999998,0.056502155911482985,253519844,89.8,0.0,0.0,0.3,0.0,35.699999999999996,9.0,0.0,0.0,0.0,"[[898, 0, 0, 0, 0, 98, 4, 0, 0, 0], [767, 0, 0, 1, 0, 219, 13, 0, 0, 0], [560, 0, 0, 0, 0, 422, 18, 0, 0, 0], [624, 0, 0, 3, 0, 360, 13, 0, 0, 0], [424, 1, 0, 0, 0, 519, 56, 0, 0, 0], [632, 0, 0, 1, 0, 357, 10, 0, 0, 0], [360, 0, 0, 0, 0, 550, 90, 0, 0, 0], [768, 1, 0, 0, 0, 226, 5, 0, 0, 0], [932, 0, 0, 0, 0, 68, 0, 0, 0, 0], [896, 0, 0, 0, 0, 100, 4, 0, 0, 0]]"
3,11.91,2.345598046391155,0.05919613980992964,0.11910000000000001,0.044223893375500804,387736232,0.0,0.0,0.0,0.0,0.0,24.7,89.5,4.9,0.0,0.0,"[[0, 0, 0, 0, 0, 800, 192, 8, 0, 0], [0, 0, 0, 0, 0, 380, 608, 12, 0, 0], [0, 0, 0, 0, 0, 306, 688, 6, 0, 0], [0, 0, 0, 0, 0, 213, 786, 1, 0, 0], [0, 0, 0, 0, 0, 161, 836, 3, 0, 0], [0, 0, 0, 0, 0, 247, 752, 1, 0, 0], [0, 0, 0, 0, 0, 101, 895, 4, 0, 0], [0, 0, 0, 0, 0, 252, 699, 49, 0, 0], [0, 0, 0, 0, 0, 759, 228, 13, 0, 0], [0, 0, 0, 0, 0, 536, 432, 32, 0, 0]]"
4,17.87,2.274083625013455,0.10313878661862441,0.1787,0.08328747834866113,507039688,0.0,76.7,37.8,0.0,63.2,1.0,0.0,0.0,0.0,0.0,"[[0, 454, 495, 0, 51, 0, 0, 0, 0, 0], [0, 767, 109, 0, 124, 0, 0, 0, 0, 0], [0, 188, 378, 0, 432, 2, 0, 0, 0, 0], [0, 242, 390, 0, 361, 7, 0, 0, 0, 0], [0, 172, 196, 0, 632, 0, 0, 0, 0, 0], [0, 182, 496, 0, 312, 10, 0, 0, 0, 0], [0, 139, 166, 0, 695, 0, 0, 0, 0, 0], [0, 586, 197, 0, 216, 1, 0, 0, 0, 0], [0, 654, 308, 0, 38, 0, 0, 0, 0, 0], [0, 840, 104, 0, 56, 0, 0, 0, 0, 0]]"
5,20.98,2.1053305940506175,0.2176995924359181,0.2098,0.13592237021519554,656169008,83.39999999999999,1.9,37.0,18.9,54.800000000000004,2.6,0.0,11.200000000000001,0.0,0.0,"[[834, 7, 84, 23, 36, 5, 0, 11, 0, 0], [494, 19, 245, 107, 85, 17, 1, 32, 0, 0], [202, 0, 370, 87, 329, 3, 0, 9, 0, 0], [130, 1, 470, 189, 196, 10, 0, 4, 0, 0], [138, 2, 239, 57, 548, 1, 1, 14, 0, 0], [100, 0, 480, 218, 170, 26, 1, 5, 0, 0], [55, 0, 294, 50, 597, 0, 0, 4, 0, 0], [262, 3, 411, 56, 153, 3, 0, 112, 0, 0], [827, 3, 88, 51, 24, 3, 0, 4, 0, 0], [628, 3, 251, 49, 36, 5, 0, 28, 0, 0]]"
6,21.4,2.206993895597732,0.09229508051706754,0.21399999999999997,0.10770130508456996,730733668,83.7,0.0,0.0,3.9,0.0,0.0,57.4,69.0,0.0,0.0,"[[837, 0, 0, 1, 0, 0, 27, 135, 0, 0], [412, 0, 0, 0, 0, 0, 48, 540, 0, 0], [264, 0, 0, 29, 0, 0, 285, 422, 0, 0], [178, 0, 0, 39, 0, 0, 220, 563, 0, 0], [163, 0, 0, 5, 0, 0, 492, 340, 0, 0], [175, 0, 0, 75, 0, 0, 200, 550, 0, 0], [73, 0, 0, 3, 0, 0, 574, 350, 0, 0], [181, 0, 0, 9, 0, 0, 120, 690, 0, 0], [841, 0, 0, 1, 0, 0, 7, 151, 0, 0], [484, 0, 0, 0, 0, 0, 26, 490, 0, 0]]"
7,21.1,2.159754788913666,0.17604378718604918,0.21100000000000002,0.1273332673154943,805298328,81.6,26.900000000000002,12.0,0.0,84.3,6.2,0.0,0.0,0.0,0.0,"[[816, 43, 9, 0, 131, 1, 0, 0, 0, 0], [418, 269, 6, 0, 306, 1, 0, 0, 0, 0], [165, 9, 120, 0, 691, 15, 0, 0, 0, 0], [111, 17, 64, 0, 793, 15, 0, 0, 0, 0], [127, 8, 17, 0, 843, 5, 0, 0, 0, 0], [96, 3, 68, 0, 771, 62, 0, 0, 0, 0], [35, 2, 18, 0, 941, 4, 0, 0, 0, 0], [175, 46, 39, 0, 729, 11, 0, 0, 0, 0], [827, 28, 17, 0, 126, 2, 0, 0, 0, 0], [533, 75, 34, 0, 355, 3, 0, 0, 0, 0]]"
8,30.62,1.939735689863991,0.2748367899187049,0.3062,0.25543225100237604,909688852,34.300000000000004,78.5,25.6,2.0,68.89999999999999,25.7,0.0,30.599999999999998,40.6,0.0,"[[343, 248, 67, 4, 90, 8, 0, 24, 216, 0], [11, 785, 8, 1, 103, 17, 0, 34, 41, 0], [30, 85, 256, 9, 461, 87, 0, 45, 27, 0], [12, 121, 191, 20, 416, 162, 0, 64, 14, 0], [12, 83, 69, 10, 689, 46, 0, 50, 41, 0], [10, 66, 205, 25, 374, 257, 0, 52, 11, 0], [5, 55, 85, 27, 750, 30, 0, 47, 1, 0], [3, 192, 120, 6, 284, 60, 0, 306, 29, 0], [129, 327, 42, 3, 59, 16, 0, 18, 406, 0], [16, 589, 42, 4, 81, 14, 0, 136, 118, 0]]"
9,28.12,2.0113000995434893,0.27366455255987426,0.2812,0.2059920426632647,984253512,52.5,0.3,13.8,0.3,0.0,25.1,89.4,36.9,0.0,62.9,"[[525, 1, 54, 0, 0, 22, 100, 48, 0, 250], [79, 3, 2, 0, 0, 27, 241, 217, 0, 431], [42, 0, 138, 3, 0, 87, 598, 64, 0, 68], [23, 0, 42, 3, 0, 137, 654, 86, 0, 55], [32, 0, 34, 0, 0, 33, 766, 66, 0, 69], [15, 0, 35, 2, 0, 251, 580, 78, 0, 39], [6, 0, 17, 0, 0, 25, 894, 32, 0, 26], [11, 0, 34, 0, 0, 57, 359, 369, 0, 170], [409, 2, 24, 1, 0, 28, 91, 43, 0, 402], [45, 1, 10, 0, 0, 20, 133, 162, 0, 629]]"
10,28.92,1.8728860022541813,0.47532317594358375,0.2892,0.21408523814165573,1073731104,6.800000000000001,55.900000000000006,2.9000000000000004,0.0,0.2,84.89999999999999,11.899999999999999,53.900000000000006,67.60000000000001,5.1,"[[68, 65, 18, 2, 0, 165, 2, 102, 576, 2], [0, 559, 0, 0, 0, 124, 1, 137, 167, 12], [5, 17, 29, 1, 0, 729, 27, 151, 39, 2], [0, 19, 0, 0, 0, 811, 16, 127, 25, 2], [1, 26, 6, 0, 2, 594, 96, 215, 60, 0], [0, 9, 0, 1, 0, 849, 4, 115, 22, 0], [0, 13, 0, 0, 0, 738, 119, 120, 10, 0], [0, 22, 3, 0, 0, 398, 4, 539, 32, 2], [1, 121, 9, 0, 0, 107, 0, 77, 676, 9], [0, 280, 1, 2, 0, 123, 1, 295, 247, 51]]"
