Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,14.67,2.2845197059095095,0.12336241344786603,0.14344944432365558,0.06748123074809448,5263947,22.75510204081633,0.0,90.01937984496125,1.881188118811881,0.0,0.0,0.0,28.793774319066145,0.0,0.0,"[[223, 0, 695, 5, 0, 0, 0, 57, 0, 0], [76, 0, 252, 0, 0, 0, 0, 807, 0, 0], [64, 0, 929, 0, 0, 0, 0, 39, 0, 0], [205, 0, 689, 19, 0, 0, 0, 97, 0, 0], [182, 0, 669, 0, 0, 0, 0, 131, 0, 0], [142, 0, 460, 0, 0, 0, 0, 290, 0, 0], [30, 0, 672, 0, 0, 0, 0, 256, 0, 0], [125, 0, 607, 0, 0, 0, 0, 296, 0, 0], [39, 0, 874, 1, 0, 0, 0, 60, 0, 0], [47, 0, 852, 0, 0, 0, 0, 110, 0, 0]]"
2,23.57,2.252508669234693,0.31229453700103255,0.21923029124901036,0.1539540868433467,10932813,4.8979591836734695,95.33039647577093,97.38372093023256,0.49504950495049505,0.0,0.0,0.20876826722338201,20.914396887159533,0.0,0.0,"[[48, 0, 909, 1, 0, 0, 16, 6, 0, 0], [0, 1082, 53, 0, 0, 0, 0, 0, 0, 0], [0, 23, 1005, 0, 0, 0, 2, 2, 0, 0], [0, 17, 979, 5, 0, 0, 4, 5, 0, 0], [19, 7, 907, 0, 0, 0, 34, 15, 0, 0], [7, 79, 782, 0, 0, 0, 7, 17, 0, 0], [2, 24, 928, 0, 0, 0, 2, 2, 0, 0], [18, 27, 765, 0, 0, 0, 3, 215, 0, 0], [0, 32, 929, 0, 0, 0, 13, 0, 0, 0], [1, 12, 989, 0, 0, 0, 3, 4, 0, 0]]"
3,21.54,2.2130294173670273,0.3328330609839639,0.19902053815267387,0.1043895437746317,16601679,1.0204081632653061,99.47136563876651,86.43410852713178,0.09900990099009901,0.0,0.0,1.8789144050104383,10.116731517509727,0.0,0.0,"[[10, 6, 844, 0, 0, 0, 120, 0, 0, 0], [0, 1129, 6, 0, 0, 0, 0, 0, 0, 0], [0, 137, 892, 0, 0, 0, 3, 0, 0, 0], [0, 181, 799, 1, 0, 0, 28, 1, 0, 0], [1, 169, 694, 0, 0, 0, 117, 1, 0, 0], [0, 288, 546, 0, 0, 0, 57, 1, 0, 0], [0, 106, 834, 0, 0, 0, 18, 0, 0, 0], [2, 318, 577, 0, 0, 0, 27, 104, 0, 0], [0, 185, 760, 0, 0, 0, 29, 0, 0, 0], [0, 225, 763, 0, 0, 0, 21, 0, 0, 0]]"
4,21.27,2.1827655665028973,0.34858843856694605,0.19725301610934698,0.09953414848704605,21865626,3.877551020408163,99.64757709251101,76.55038759689923,0.19801980198019803,0.0,0.0,12.21294363256785,4.766536964980545,0.0,0.0,"[[38, 15, 441, 0, 0, 0, 486, 0, 0, 0], [0, 1131, 4, 0, 0, 0, 0, 0, 0, 0], [0, 238, 790, 0, 0, 0, 4, 0, 0, 0], [0, 363, 523, 2, 0, 0, 122, 0, 0, 0], [0, 331, 348, 0, 0, 0, 303, 0, 0, 0], [0, 439, 223, 0, 0, 0, 230, 0, 0, 0], [0, 186, 655, 0, 0, 0, 117, 0, 0, 0], [2, 627, 226, 0, 0, 0, 124, 49, 0, 0], [0, 390, 452, 0, 0, 0, 132, 0, 0, 0], [0, 428, 419, 0, 0, 0, 162, 0, 0, 0]]"
5,22.22,2.1652419445232844,0.3295998928680627,0.20762459602764355,0.11815265981141168,27939411,8.16326530612245,99.82378854625551,67.92635658914729,0.49504950495049505,0.0,0.0,25.5741127348643,5.642023346303502,0.0,0.0,"[[80, 27, 214, 0, 0, 2, 656, 1, 0, 0], [0, 1133, 2, 0, 0, 0, 0, 0, 0, 0], [0, 323, 701, 0, 0, 0, 8, 0, 0, 0], [0, 470, 365, 5, 0, 0, 170, 0, 0, 0], [0, 433, 157, 0, 0, 0, 392, 0, 0, 0], [0, 516, 98, 2, 0, 0, 276, 0, 0, 0], [0, 252, 461, 0, 0, 0, 245, 0, 0, 0], [1, 753, 79, 0, 0, 0, 137, 58, 0, 0], [0, 539, 232, 0, 0, 0, 203, 0, 0, 0], [0, 554, 194, 0, 0, 0, 261, 0, 0, 0]]"
6,27.29,2.1170697509290313,0.46192692364663535,0.26111756556853594,0.18611805430684067,31988601,9.795918367346939,99.82378854625551,59.59302325581395,0.9900990099009901,0.0,7.399103139013453,70.77244258872652,12.743190661478598,0.0,0.0,"[[96, 27, 11, 0, 0, 14, 828, 4, 0, 0], [0, 1133, 2, 0, 0, 0, 0, 0, 0, 0], [0, 355, 615, 0, 0, 0, 61, 1, 0, 0], [0, 488, 135, 10, 0, 4, 372, 1, 0, 0], [0, 409, 14, 0, 0, 0, 559, 0, 0, 0], [0, 484, 11, 3, 0, 66, 328, 0, 0, 0], [0, 258, 21, 0, 0, 1, 678, 0, 0, 0], [0, 721, 28, 0, 0, 0, 148, 131, 0, 0], [0, 531, 15, 0, 0, 0, 428, 0, 0, 0], [0, 529, 11, 0, 0, 0, 469, 0, 0, 0]]"
7,33.24,2.040592737091235,0.4299694965299721,0.324400069132261,0.2604464913747068,36037791,27.755102040816325,99.82378854625551,62.5968992248062,7.425742574257425,0.0,43.609865470852014,65.97077244258872,17.217898832684824,0.0,0.0,"[[272, 19, 10, 0, 0, 177, 499, 3, 0, 0], [0, 1133, 2, 0, 0, 0, 0, 0, 0, 0], [0, 347, 646, 0, 0, 6, 32, 1, 0, 0], [0, 432, 141, 75, 0, 215, 145, 2, 0, 0], [0, 397, 24, 0, 0, 123, 437, 1, 0, 0], [4, 375, 10, 6, 0, 389, 107, 1, 0, 0], [1, 256, 51, 0, 0, 18, 632, 0, 0, 0], [0, 688, 32, 0, 0, 93, 38, 177, 0, 0], [0, 451, 26, 0, 0, 267, 230, 0, 0, 0], [0, 469, 24, 0, 0, 242, 274, 0, 0, 0]]"
8,41.6,1.8829387285458012,0.4576242726169375,0.4102703271617932,0.354708115766596,40896819,70.61224489795919,99.73568281938327,63.856589147286826,24.356435643564357,0.0,57.7354260089686,71.50313152400834,22.47081712062257,0.0,0.0,"[[692, 10, 0, 0, 0, 158, 119, 1, 0, 0], [0, 1132, 2, 0, 0, 0, 1, 0, 0, 0], [7, 284, 659, 0, 0, 31, 50, 1, 0, 0], [10, 307, 54, 246, 0, 294, 96, 3, 0, 0], [0, 266, 11, 0, 0, 301, 403, 1, 0, 0], [32, 286, 4, 8, 0, 515, 47, 0, 0, 0], [5, 188, 6, 0, 0, 74, 685, 0, 0, 0], [8, 565, 25, 1, 0, 170, 28, 231, 0, 0], [20, 263, 4, 0, 0, 559, 128, 0, 0, 0], [8, 305, 6, 1, 0, 478, 211, 0, 0, 0]]"
9,50.14,1.6480132623221546,0.42988758862265347,0.49397698451002847,0.4185390121693107,44946009,93.57142857142857,99.38325991189427,79.74806201550388,43.86138613861386,0.0,46.97309417040359,81.3152400835073,49.12451361867704,0.0,0.0,"[[917, 3, 0, 0, 0, 17, 42, 1, 0, 0], [0, 1128, 2, 1, 0, 1, 3, 0, 0, 0], [48, 109, 823, 0, 0, 7, 39, 6, 0, 0], [139, 164, 96, 443, 0, 87, 77, 4, 0, 0], [34, 125, 16, 0, 0, 176, 624, 7, 0, 0], [192, 169, 9, 28, 0, 419, 73, 2, 0, 0], [54, 93, 10, 0, 0, 22, 779, 0, 0, 0], [43, 335, 43, 0, 0, 64, 38, 505, 0, 0], [171, 108, 36, 0, 0, 411, 246, 2, 0, 0], [82, 146, 7, 2, 0, 376, 393, 3, 0, 0]]"
10,58.86,1.4887978817327334,0.5115482241850315,0.5797310764483788,0.5228138227791849,49400118,97.55102040816327,98.41409691629957,80.32945736434108,67.12871287128714,0.0,42.600896860986545,78.39248434237996,60.40856031128404,0.0,54.905847373637265,"[[956, 2, 0, 0, 0, 8, 13, 1, 0, 0], [0, 1117, 7, 4, 0, 2, 2, 0, 0, 3], [85, 62, 829, 4, 0, 6, 36, 6, 0, 4], [154, 66, 46, 678, 0, 25, 19, 4, 0, 18], [139, 54, 17, 0, 0, 81, 352, 3, 0, 336], [275, 96, 6, 84, 0, 380, 43, 0, 0, 8], [121, 50, 16, 0, 0, 19, 751, 0, 0, 1], [73, 178, 54, 4, 0, 31, 7, 621, 0, 60], [367, 48, 33, 23, 0, 280, 99, 0, 0, 124], [155, 59, 6, 6, 0, 153, 73, 3, 0, 554]]"
