Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,45.34,1.5983120503897865,0.361469021184449,0.4534000000000001,0.3726398429027908,9319192,0.0,87.3,63.5,42.5,0.0,26.200000000000003,45.300000000000004,0.0,94.6,94.0,"[[0, 26, 16, 65, 0, 30, 809, 0, 50, 4], [0, 873, 13, 31, 0, 0, 75, 0, 4, 4], [0, 4, 635, 4, 0, 7, 211, 0, 131, 8], [0, 247, 3, 425, 0, 20, 276, 0, 25, 4], [0, 14, 418, 21, 0, 16, 274, 0, 253, 4], [0, 1, 0, 0, 0, 262, 6, 0, 120, 611], [0, 14, 279, 16, 0, 46, 453, 0, 173, 19], [0, 0, 0, 0, 0, 73, 0, 0, 511, 416], [0, 2, 10, 3, 0, 6, 7, 0, 946, 26], [0, 1, 0, 0, 0, 1, 7, 0, 51, 940]]"
2,58.39,1.1421824598464723,0.6562686838092612,0.5839000000000001,0.551322645886661,19803283,2.1,92.10000000000001,47.8,36.5,76.1,78.8,30.4,40.300000000000004,92.2,87.6,"[[21, 61, 8, 97, 80, 20, 686, 0, 26, 1], [0, 921, 8, 21, 43, 3, 3, 0, 1, 0], [0, 6, 478, 4, 384, 6, 101, 0, 21, 0], [1, 394, 1, 365, 200, 3, 30, 0, 6, 0], [0, 30, 137, 15, 761, 6, 39, 0, 12, 0], [0, 2, 0, 4, 0, 788, 5, 28, 64, 109], [1, 30, 111, 46, 434, 33, 304, 0, 40, 1], [0, 0, 0, 0, 0, 496, 0, 403, 48, 53], [0, 3, 9, 13, 24, 21, 3, 2, 922, 3], [0, 1, 2, 3, 2, 56, 12, 8, 40, 876]]"
3,53.47,1.1396797078486067,0.596175704119767,0.5347000000000001,0.49574739468483414,30287374,44.0,61.7,30.8,94.69999999999999,76.1,96.3,21.4,0.0,86.0,23.7,"[[440, 8, 5, 432, 10, 11, 80, 0, 14, 0], [1, 617, 7, 353, 18, 1, 2, 0, 1, 0], [2, 2, 308, 26, 426, 4, 221, 0, 11, 0], [4, 4, 0, 947, 24, 0, 19, 0, 2, 0], [0, 0, 48, 142, 761, 6, 34, 0, 8, 1], [0, 0, 0, 15, 0, 963, 4, 0, 14, 4], [69, 2, 59, 246, 365, 19, 214, 0, 24, 2], [0, 0, 0, 0, 0, 992, 0, 0, 8, 0], [0, 2, 9, 46, 13, 52, 17, 0, 860, 1], [0, 1, 1, 27, 2, 667, 8, 0, 57, 237]]"
4,61.37,0.9822855035717876,0.7341532011725602,0.6136999999999999,0.5891930017084472,39606566,51.1,90.9,4.0,86.5,44.7,94.1,72.5,64.9,87.8,17.2,"[[511, 14, 0, 150, 4, 10, 298, 0, 13, 0], [0, 909, 2, 52, 11, 2, 23, 0, 1, 0], [2, 1, 40, 16, 131, 2, 798, 1, 9, 0], [3, 15, 0, 865, 15, 0, 101, 0, 1, 0], [0, 6, 8, 80, 447, 2, 450, 0, 6, 1], [0, 1, 0, 9, 0, 941, 7, 24, 14, 4], [64, 3, 8, 113, 48, 12, 725, 0, 25, 2], [0, 0, 0, 0, 0, 341, 0, 649, 10, 0], [0, 4, 0, 27, 3, 32, 47, 8, 878, 1], [0, 1, 0, 14, 2, 699, 22, 20, 70, 172]]"
5,71.69,0.8356966805724672,0.7279481863172015,0.7168999999999999,0.6983851080787913,51255556,84.39999999999999,92.80000000000001,48.9,75.9,84.39999999999999,79.4,11.700000000000001,94.69999999999999,81.5,63.2,"[[844, 12, 10, 87, 17, 8, 16, 0, 5, 1], [12, 928, 10, 30, 17, 2, 0, 0, 1, 0], [82, 2, 489, 10, 371, 1, 41, 1, 3, 0], [108, 56, 1, 759, 63, 0, 13, 0, 0, 0], [9, 7, 72, 48, 844, 2, 15, 0, 2, 1], [2, 4, 0, 7, 0, 794, 1, 163, 4, 25], [313, 5, 107, 49, 383, 9, 117, 0, 12, 5], [0, 0, 0, 0, 0, 41, 0, 947, 5, 7], [7, 4, 21, 32, 26, 27, 37, 20, 815, 11], [10, 1, 3, 5, 3, 159, 6, 178, 3, 632]]"
6,68.88,0.8016619704211482,0.7400942096799186,0.6888,0.6908297748204956,57080051,78.8,87.9,31.1,74.4,40.0,50.6,61.199999999999996,95.7,83.6,85.5,"[[788, 1, 5, 64, 4, 3, 128, 1, 4, 2], [23, 879, 10, 58, 9, 1, 18, 0, 1, 1], [25, 0, 311, 5, 114, 0, 540, 1, 3, 1], [93, 10, 1, 744, 16, 0, 135, 1, 0, 0], [2, 3, 148, 51, 400, 0, 392, 0, 3, 1], [1, 1, 0, 2, 0, 506, 9, 387, 8, 86], [241, 2, 63, 27, 35, 4, 612, 0, 8, 8], [0, 0, 0, 0, 0, 5, 0, 957, 2, 36], [4, 1, 3, 13, 3, 8, 89, 18, 836, 25], [0, 1, 0, 1, 1, 4, 13, 124, 1, 855]]"
7,65.82,0.8778414500597567,0.6976308432346368,0.6582000000000001,0.628909650011669,62904546,80.4,94.69999999999999,93.4,43.6,19.2,72.39999999999999,6.5,98.3,86.3,63.4,"[[804, 37, 65, 31, 4, 9, 43, 1, 6, 0], [7, 947, 24, 14, 3, 4, 0, 0, 1, 0], [18, 2, 934, 3, 31, 1, 7, 1, 3, 0], [111, 269, 66, 436, 77, 2, 37, 1, 1, 0], [1, 18, 760, 15, 192, 3, 8, 0, 2, 1], [0, 1, 2, 1, 0, 724, 1, 236, 3, 32], [251, 21, 609, 10, 24, 5, 65, 0, 12, 3], [0, 0, 0, 0, 0, 9, 0, 983, 2, 6], [2, 3, 56, 4, 2, 25, 10, 26, 863, 9], [1, 1, 14, 0, 0, 33, 3, 310, 4, 634]]"
8,75.66,0.7355185774758982,0.7530543157407141,0.7565999999999999,0.7268563431329412,71058839,80.80000000000001,94.1,61.4,80.30000000000001,85.8,87.7,2.6,81.69999999999999,91.4,90.8,"[[808, 17, 24, 103, 20, 6, 8, 0, 12, 2], [5, 941, 11, 29, 11, 2, 0, 0, 1, 0], [33, 2, 614, 8, 326, 1, 3, 1, 9, 3], [43, 58, 16, 803, 70, 0, 6, 0, 3, 1], [2, 5, 91, 35, 858, 2, 0, 0, 6, 1], [0, 3, 1, 5, 1, 877, 0, 34, 18, 61], [246, 5, 186, 81, 418, 8, 26, 0, 24, 6], [0, 0, 0, 0, 0, 71, 0, 817, 32, 80], [2, 3, 22, 16, 11, 15, 5, 3, 914, 9], [3, 1, 8, 5, 1, 15, 2, 39, 18, 908]]"
9,69.75,0.8112400649264216,0.7214646520613506,0.6975,0.6695208179708372,76883334,89.7,95.8,53.0,42.3,87.1,91.7,10.0,96.2,78.9,52.800000000000004,"[[897, 22, 10, 21, 14, 11, 15, 2, 7, 1], [11, 958, 10, 6, 8, 6, 0, 0, 1, 0], [73, 3, 530, 4, 337, 6, 42, 1, 4, 0], [152, 278, 9, 423, 114, 6, 15, 1, 1, 1], [6, 22, 68, 6, 871, 9, 15, 0, 2, 1], [0, 1, 0, 1, 0, 917, 1, 67, 0, 13], [341, 17, 111, 10, 378, 26, 100, 0, 15, 2], [0, 0, 0, 0, 0, 33, 0, 962, 0, 5], [10, 3, 18, 8, 13, 80, 29, 45, 789, 5], [3, 1, 3, 1, 1, 131, 3, 327, 2, 528]]"
10,72.6,0.8522974261270163,0.7696412796948386,0.7259999999999999,0.6973783535309572,83872728,78.9,94.69999999999999,85.9,83.0,52.6,85.0,0.3,96.89999999999999,81.5,67.2,"[[789, 16, 65, 109, 9, 4, 0, 0, 7, 1], [4, 947, 18, 26, 2, 2, 0, 0, 1, 0], [18, 2, 859, 11, 107, 0, 0, 1, 2, 0], [30, 54, 50, 830, 36, 0, 0, 0, 0, 0], [1, 6, 423, 43, 526, 0, 0, 0, 1, 0], [0, 4, 1, 5, 1, 850, 0, 106, 2, 31], [230, 7, 532, 97, 117, 4, 3, 0, 9, 1], [0, 0, 0, 0, 0, 21, 0, 969, 3, 7], [1, 3, 83, 25, 38, 14, 1, 13, 815, 7], [2, 1, 14, 7, 1, 27, 0, 271, 5, 672]]"
