Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,9.89,2.3095487672300004,0.014494898428164354,0.0989,0.01897252624525352,113503960,0.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[5, 995, 0, 0, 0, 0, 0, 0, 0, 0], [16, 984, 0, 0, 0, 0, 0, 0, 0, 0], [8, 992, 0, 0, 0, 0, 0, 0, 0, 0], [10, 990, 0, 0, 0, 0, 0, 0, 0, 0], [13, 987, 0, 0, 0, 0, 0, 0, 0, 0], [12, 988, 0, 0, 0, 0, 0, 0, 0, 0], [18, 982, 0, 0, 0, 0, 0, 0, 0, 0], [10, 990, 0, 0, 0, 0, 0, 0, 0, 0], [4, 996, 0, 0, 0, 0, 0, 0, 0, 0], [14, 986, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,14.25,2.337122962878535,0.04317948978307477,0.14250000000000002,0.04805937699165286,241195915,65.60000000000001,0.0,0.0,0.1,0.0,76.8,0.0,0.0,0.0,0.0,"[[656, 0, 0, 2, 0, 342, 0, 0, 0, 0], [526, 0, 0, 1, 0, 473, 0, 0, 0, 0], [259, 0, 0, 1, 0, 740, 0, 0, 0, 0], [321, 0, 0, 1, 0, 678, 0, 0, 0, 0], [176, 0, 0, 0, 0, 824, 0, 0, 0, 0], [232, 0, 0, 0, 0, 768, 0, 0, 0, 0], [157, 0, 0, 0, 0, 843, 0, 0, 0, 0], [497, 0, 0, 0, 0, 503, 0, 0, 0, 0], [633, 0, 0, 1, 0, 366, 0, 0, 0, 0], [731, 0, 0, 1, 0, 268, 0, 0, 0, 0]]"
3,15.54,2.2927028173074935,0.14883554805315008,0.1554,0.07501304019076202,368887870,0.7000000000000001,0.0,0.0,0.0,0.0,72.1,67.7,14.899999999999999,0.0,0.0,"[[7, 0, 0, 0, 0, 899, 63, 31, 0, 0], [0, 0, 0, 0, 0, 814, 107, 79, 0, 0], [0, 0, 0, 0, 0, 567, 413, 20, 0, 0], [0, 0, 0, 0, 0, 664, 320, 16, 0, 0], [0, 0, 0, 0, 0, 357, 623, 20, 0, 0], [1, 0, 0, 0, 0, 721, 264, 14, 0, 0], [0, 0, 0, 0, 0, 307, 677, 16, 0, 0], [0, 0, 0, 0, 0, 633, 218, 149, 0, 0], [0, 0, 0, 0, 0, 912, 47, 41, 0, 0], [0, 0, 0, 0, 0, 761, 56, 183, 0, 0]]"
4,16.03,2.2738682317276733,0.04847739757954365,0.1603,0.07382889964472542,482391830,0.0,50.5,35.5,0.0,74.3,0.0,0.0,0.0,0.0,0.0,"[[0, 375, 482, 0, 143, 0, 0, 0, 0, 0], [0, 505, 315, 0, 180, 0, 0, 0, 0, 0], [0, 80, 355, 0, 565, 0, 0, 0, 0, 0], [0, 83, 406, 0, 511, 0, 0, 0, 0, 0], [0, 71, 186, 0, 743, 0, 0, 0, 0, 0], [0, 43, 477, 0, 480, 0, 0, 0, 0, 0], [0, 37, 164, 0, 799, 0, 0, 0, 0, 0], [0, 299, 292, 0, 409, 0, 0, 0, 0, 0], [0, 423, 419, 0, 158, 0, 0, 0, 0, 0], [0, 632, 205, 0, 162, 1, 0, 0, 0, 0]]"
5,22.68,2.0706289922848296,0.2583274955877151,0.22679999999999997,0.1537507088215,624271780,86.8,7.1,31.6,46.5,42.4,0.0,1.7000000000000002,10.7,0.0,0.0,"[[868, 6, 62, 35, 22, 0, 0, 7, 0, 0], [622, 71, 137, 120, 33, 0, 2, 15, 0, 0], [253, 2, 316, 201, 216, 0, 4, 8, 0, 0], [179, 2, 239, 465, 103, 1, 5, 6, 0, 0], [168, 1, 245, 146, 424, 0, 7, 9, 0, 0], [155, 0, 276, 461, 103, 0, 2, 3, 0, 0], [58, 0, 262, 232, 425, 0, 17, 6, 0, 0], [286, 7, 275, 204, 121, 0, 0, 107, 0, 0], [892, 2, 42, 44, 14, 0, 0, 6, 0, 0], [711, 12, 101, 138, 14, 0, 1, 23, 0, 0]]"
6,22.22,2.1084615571049454,0.2654386226478289,0.2222,0.1210404492042744,695211755,83.6,0.1,0.0,12.1,0.0,0.6,54.2,71.6,0.0,0.0,"[[836, 0, 0, 7, 0, 0, 24, 133, 0, 0], [567, 1, 0, 10, 0, 0, 44, 378, 0, 0], [269, 0, 0, 51, 0, 0, 256, 424, 0, 0], [209, 0, 0, 121, 0, 3, 166, 501, 0, 0], [178, 0, 0, 25, 0, 0, 449, 348, 0, 0], [184, 0, 0, 149, 0, 6, 145, 516, 0, 0], [65, 0, 0, 37, 0, 0, 542, 356, 0, 0], [166, 0, 0, 21, 0, 0, 97, 716, 0, 0], [872, 0, 0, 4, 0, 0, 10, 114, 0, 0], [530, 0, 0, 7, 0, 0, 16, 447, 0, 0]]"
7,20.71,2.114444600507474,0.31016925974246096,0.20709999999999998,0.1208593921799298,766151730,84.39999999999999,18.099999999999998,6.6000000000000005,0.5,85.2,12.2,0.1,0.0,0.0,0.0,"[[844, 23, 5, 0, 127, 1, 0, 0, 0, 0], [555, 181, 1, 1, 257, 5, 0, 0, 0, 0], [213, 6, 66, 1, 695, 19, 0, 0, 0, 0], [146, 11, 38, 5, 733, 67, 0, 0, 0, 0], [137, 4, 4, 0, 852, 3, 0, 0, 0, 0], [106, 7, 52, 3, 710, 122, 0, 0, 0, 0], [52, 0, 18, 3, 921, 5, 1, 0, 0, 0], [214, 13, 13, 0, 745, 15, 0, 0, 0, 0], [863, 20, 6, 0, 106, 5, 0, 0, 0, 0], [657, 55, 15, 1, 268, 4, 0, 0, 0, 0]]"
8,31.93,1.8615496988875417,0.30411805502698186,0.31930000000000003,0.26786865566150575,865467695,19.2,86.9,14.899999999999999,13.600000000000001,59.8,40.8,0.0,40.6,43.5,0.0,"[[192, 334, 60, 34, 48, 30, 0, 39, 263, 0], [1, 869, 3, 14, 43, 14, 0, 34, 22, 0], [22, 120, 149, 76, 374, 154, 0, 83, 22, 0], [4, 162, 58, 136, 243, 281, 1, 109, 6, 0], [14, 97, 54, 24, 598, 100, 0, 88, 25, 0], [1, 93, 65, 110, 222, 408, 1, 92, 8, 0], [0, 68, 38, 75, 646, 85, 0, 86, 2, 0], [3, 185, 30, 53, 194, 116, 0, 406, 13, 0], [17, 417, 29, 8, 30, 28, 0, 36, 435, 0], [1, 749, 15, 25, 28, 12, 0, 122, 48, 0]]"
9,32.08,1.859709275416292,0.3756416365141876,0.3208,0.24045904988690978,936407670,59.0,5.7,18.4,0.0,0.0,29.2,83.3,55.400000000000006,0.3,69.5,"[[590, 7, 66, 0, 0, 18, 62, 81, 0, 176], [104, 57, 6, 0, 0, 19, 87, 187, 0, 540], [58, 1, 184, 1, 0, 65, 490, 155, 0, 46], [22, 1, 75, 0, 0, 178, 504, 174, 0, 46], [45, 1, 66, 0, 0, 46, 636, 164, 0, 42], [15, 0, 79, 1, 0, 292, 417, 163, 0, 33], [5, 0, 28, 0, 0, 26, 833, 88, 0, 20], [22, 0, 37, 1, 0, 68, 226, 554, 0, 92], [515, 4, 36, 0, 0, 35, 38, 63, 3, 306], [61, 6, 11, 0, 0, 10, 61, 156, 0, 695]]"
10,29.77,1.9063043346801125,0.40096319747535325,0.29769999999999996,0.23707948823295433,1021535640,11.5,53.400000000000006,5.6000000000000005,1.7000000000000002,0.0,80.5,15.2,63.7,61.0,5.1,"[[115, 69, 39, 8, 0, 201, 2, 189, 376, 1], [0, 534, 0, 7, 0, 113, 7, 220, 104, 15], [6, 9, 56, 10, 0, 630, 28, 232, 28, 1], [0, 6, 5, 17, 0, 744, 17, 203, 8, 0], [3, 12, 40, 5, 0, 481, 68, 367, 24, 0], [0, 6, 5, 6, 0, 805, 9, 166, 3, 0], [0, 7, 12, 26, 0, 542, 152, 257, 4, 0], [0, 7, 1, 5, 0, 332, 6, 637, 12, 0], [7, 81, 10, 5, 0, 136, 2, 144, 610, 5], [2, 257, 2, 8, 0, 104, 2, 419, 155, 51]]"
11,33.12,1.8039993874181193,0.43774438064086213,0.3312,0.2910403393901044,1163415590,88.2,54.900000000000006,34.9,48.199999999999996,22.7,12.4,38.0,30.8,0.5,0.6,"[[882, 44, 26, 19, 10, 0, 8, 9, 2, 0], [378, 549, 11, 34, 5, 0, 9, 14, 0, 0], [243, 25, 349, 182, 62, 16, 86, 37, 0, 0], [186, 22, 125, 482, 24, 38, 95, 28, 0, 0], [195, 15, 223, 140, 227, 16, 133, 51, 0, 0], [139, 12, 171, 438, 38, 124, 43, 35, 0, 0], [70, 14, 160, 239, 112, 8, 380, 14, 2, 1], [274, 24, 92, 199, 39, 27, 36, 308, 1, 0], [886, 56, 11, 29, 3, 0, 5, 4, 5, 1], [598, 275, 17, 53, 3, 1, 16, 23, 8, 6]]"
12,32.54,1.8066778895192253,0.47529463291891033,0.3254,0.25860314507329535,1248543560,83.8,79.9,41.4,56.3,25.3,13.600000000000001,8.9,14.299999999999999,1.5,0.4,"[[838, 94, 34, 21, 9, 1, 0, 3, 0, 0], [154, 799, 9, 29, 4, 1, 2, 2, 0, 0], [200, 61, 414, 221, 70, 16, 11, 7, 0, 0], [126, 76, 150, 563, 37, 33, 10, 5, 0, 0], [157, 44, 306, 185, 253, 18, 18, 18, 0, 1], [86, 32, 203, 494, 38, 136, 5, 5, 1, 0], [38, 50, 266, 363, 187, 4, 89, 2, 0, 1], [256, 88, 152, 254, 68, 32, 1, 143, 1, 5], [773, 158, 12, 37, 1, 1, 0, 2, 15, 1], [307, 598, 20, 63, 2, 1, 2, 3, 0, 4]]"
13,41.9,1.5678662278781683,0.44719542272008966,0.41900000000000004,0.3905036008777163,1390423510,45.5,20.5,25.6,0.6,40.1,56.99999999999999,65.5,36.0,62.8,65.4,"[[455, 14, 105, 1, 34, 25, 43, 14, 232, 77], [35, 205, 5, 2, 15, 28, 52, 35, 143, 480], [39, 2, 256, 1, 198, 196, 210, 39, 26, 33], [16, 3, 91, 6, 68, 391, 340, 37, 12, 36], [34, 1, 105, 0, 401, 144, 227, 42, 27, 19], [10, 0, 97, 4, 86, 570, 172, 33, 13, 15], [3, 0, 63, 5, 163, 86, 655, 7, 6, 12], [19, 2, 63, 1, 125, 211, 129, 360, 18, 72], [129, 17, 31, 1, 22, 33, 28, 16, 628, 95], [30, 26, 19, 2, 4, 26, 65, 44, 130, 654]]"
14,37.17,1.6719970482225996,0.4582010147123783,0.3716999999999999,0.31225656325081474,1532303460,72.3,83.1,53.7,2.8000000000000003,36.8,48.3,22.7,46.400000000000006,4.6,1.0,"[[723, 94, 136, 2, 14, 8, 2, 14, 7, 0], [92, 831, 17, 1, 8, 18, 2, 31, 0, 0], [82, 36, 537, 7, 124, 120, 30, 63, 1, 0], [30, 66, 312, 28, 83, 371, 49, 61, 0, 0], [66, 34, 298, 4, 368, 101, 45, 84, 0, 0], [24, 22, 294, 13, 75, 483, 22, 66, 1, 0], [9, 41, 292, 31, 251, 118, 227, 30, 1, 0], [50, 51, 156, 3, 96, 166, 10, 464, 2, 2], [667, 170, 65, 0, 11, 20, 1, 19, 46, 1], [165, 664, 60, 6, 4, 13, 6, 63, 9, 10]]"
15,38.67,1.6373139136134627,0.5375385197065408,0.3867,0.3529687850764195,1674183410,63.9,51.2,42.9,61.4,54.400000000000006,2.5,15.0,35.4,3.6999999999999997,56.3,"[[639, 27, 160, 37, 58, 0, 1, 12, 0, 66], [94, 512, 22, 78, 31, 0, 7, 33, 1, 222], [42, 6, 429, 210, 238, 2, 21, 32, 0, 20], [14, 7, 165, 614, 134, 2, 23, 21, 0, 20], [36, 5, 182, 153, 544, 1, 26, 41, 0, 12], [8, 1, 201, 602, 122, 25, 8, 27, 1, 5], [3, 2, 131, 314, 382, 0, 150, 8, 1, 9], [17, 5, 120, 241, 212, 3, 4, 354, 0, 44], [600, 49, 63, 63, 58, 0, 1, 12, 37, 117], [111, 120, 42, 93, 31, 0, 5, 35, 0, 563]]"
