Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,47.7,1.6044872846847145,0.36876551345200675,0.47700000000000004,0.3986104550440607,9171112,0.0,86.3,68.2,55.50000000000001,0.0,34.9,43.3,0.0,93.8,95.0,"[[0, 18, 20, 84, 0, 32, 798, 0, 45, 3], [0, 863, 14, 50, 0, 1, 64, 0, 4, 4], [0, 3, 682, 5, 0, 11, 194, 0, 96, 9], [0, 135, 5, 555, 0, 20, 255, 0, 23, 7], [0, 11, 496, 29, 0, 16, 271, 0, 173, 4], [0, 2, 0, 1, 0, 349, 3, 0, 68, 577], [0, 10, 337, 31, 0, 50, 433, 0, 121, 18], [0, 0, 0, 0, 0, 192, 0, 0, 324, 484], [0, 2, 12, 3, 0, 7, 8, 0, 938, 30], [0, 1, 0, 0, 0, 1, 7, 0, 41, 950]]"
2,56.02,1.1681502183405355,0.6287878991712875,0.5602,0.5063300513437583,19488613,0.2,91.2,58.099999999999994,46.6,60.4,83.1,39.5,1.7000000000000002,92.10000000000001,87.3,"[[2, 42, 8, 90, 47, 22, 765, 0, 23, 1], [0, 912, 10, 27, 41, 3, 6, 0, 1, 0], [0, 4, 581, 5, 254, 6, 132, 0, 18, 0], [1, 288, 0, 466, 184, 5, 50, 0, 6, 0], [0, 24, 273, 18, 604, 6, 64, 0, 11, 0], [0, 2, 0, 5, 0, 831, 8, 1, 51, 102], [0, 22, 176, 42, 294, 34, 395, 0, 36, 1], [0, 0, 0, 0, 0, 883, 0, 17, 43, 57], [0, 3, 11, 12, 18, 23, 7, 1, 921, 4], [0, 1, 2, 3, 2, 69, 14, 0, 36, 873]]"
3,57.01,1.1229935654055196,0.6019876857985398,0.5701,0.5338168766692736,29806114,51.1,81.69999999999999,38.800000000000004,94.1,73.0,95.5,22.1,0.0,85.2,28.599999999999998,"[[511, 10, 8, 362, 8, 13, 75, 0, 13, 0], [2, 817, 7, 151, 19, 2, 1, 0, 1, 0], [4, 1, 388, 25, 376, 4, 192, 0, 10, 0], [4, 7, 0, 941, 26, 0, 20, 0, 2, 0], [0, 4, 87, 129, 730, 6, 36, 0, 8, 0], [0, 1, 0, 16, 0, 955, 5, 0, 16, 7], [87, 3, 72, 227, 345, 21, 221, 0, 23, 1], [0, 0, 0, 0, 0, 992, 0, 0, 7, 1], [0, 3, 6, 45, 15, 51, 26, 0, 852, 2], [0, 1, 3, 25, 2, 622, 12, 0, 49, 286]]"
4,57.17,1.0000979005338284,0.7232216151283556,0.5717,0.542269364813463,38977226,47.699999999999996,90.8,3.5000000000000004,87.1,41.9,96.1,71.89999999999999,28.1,87.3,17.299999999999997,"[[477, 12, 0, 170, 4, 12, 310, 0, 15, 0], [0, 908, 3, 56, 9, 2, 21, 0, 1, 0], [2, 1, 35, 15, 122, 4, 809, 0, 12, 0], [3, 15, 0, 871, 14, 0, 94, 0, 3, 0], [0, 6, 9, 89, 419, 2, 467, 0, 7, 1], [0, 2, 0, 8, 0, 961, 8, 6, 11, 4], [56, 7, 8, 123, 43, 14, 719, 0, 29, 1], [0, 0, 0, 0, 0, 710, 0, 281, 9, 0], [0, 4, 0, 27, 2, 45, 44, 4, 873, 1], [0, 1, 0, 9, 1, 703, 37, 3, 73, 173]]"
5,70.89,0.8649191166074893,0.7200496203263723,0.7089,0.6936133687362718,50441116,84.7,93.2,53.900000000000006,73.2,79.4,84.0,16.2,93.7,75.8,54.800000000000004,"[[847, 16, 10, 76, 11, 10, 25, 0, 5, 0], [12, 932, 11, 27, 14, 3, 0, 0, 0, 1], [76, 1, 539, 8, 319, 4, 48, 1, 3, 1], [109, 76, 2, 732, 61, 1, 19, 0, 0, 0], [11, 9, 111, 47, 794, 2, 23, 0, 2, 1], [0, 3, 0, 5, 0, 840, 4, 126, 3, 19], [302, 11, 131, 39, 331, 14, 162, 0, 7, 3], [0, 0, 0, 0, 0, 53, 0, 937, 4, 6], [7, 4, 27, 35, 39, 41, 55, 21, 758, 13], [4, 1, 5, 7, 2, 241, 11, 180, 1, 548]]"
6,68.03,0.8105908682742439,0.7331918145323653,0.6803,0.6780041182428302,56173061,78.5,89.0,20.200000000000003,74.3,36.5,51.9,64.4,93.30000000000001,83.89999999999999,88.3,"[[785, 3, 1, 70, 6, 4, 124, 1, 5, 1], [24, 890, 6, 42, 14, 2, 20, 0, 1, 1], [26, 0, 202, 5, 108, 1, 653, 1, 4, 0], [83, 26, 1, 743, 24, 1, 121, 0, 0, 1], [2, 3, 105, 49, 365, 1, 471, 0, 3, 1], [0, 2, 0, 2, 0, 519, 7, 358, 12, 100], [238, 1, 39, 29, 32, 5, 644, 0, 9, 3], [0, 0, 0, 0, 0, 4, 0, 933, 7, 56], [1, 1, 0, 15, 4, 9, 92, 17, 839, 22], [0, 1, 0, 2, 1, 3, 16, 92, 2, 883]]"
7,65.79,0.867177487847904,0.6962202514589565,0.6578999999999999,0.6281695609680563,61905006,81.8,94.1,93.0,42.0,19.400000000000002,69.39999999999999,6.5,98.2,87.2,66.3,"[[818, 29, 61, 28, 3, 8, 42, 1, 9, 1], [11, 941, 24, 15, 4, 4, 0, 0, 1, 0], [19, 1, 930, 3, 32, 1, 10, 1, 3, 0], [123, 286, 57, 420, 60, 3, 50, 1, 0, 0], [2, 18, 753, 17, 194, 2, 10, 0, 3, 1], [0, 1, 1, 1, 0, 694, 1, 258, 5, 39], [262, 18, 603, 11, 22, 4, 65, 0, 13, 2], [0, 0, 0, 0, 0, 8, 0, 982, 4, 6], [2, 3, 56, 5, 2, 24, 9, 21, 872, 6], [0, 1, 15, 0, 0, 21, 4, 293, 3, 663]]"
8,75.38,0.7366263618865333,0.7468443990098287,0.7538,0.7243967546102532,69929729,81.3,94.0,63.9,80.7,81.2,88.4,3.0,79.60000000000001,90.3,91.4,"[[813, 16, 25, 101, 16, 8, 7, 0, 13, 1], [6, 940, 12, 27, 11, 3, 0, 0, 1, 0], [32, 2, 639, 11, 300, 1, 4, 1, 9, 1], [45, 72, 16, 807, 50, 0, 8, 0, 2, 0], [2, 6, 122, 49, 812, 2, 1, 0, 5, 1], [0, 4, 1, 5, 0, 884, 0, 29, 20, 57], [254, 7, 220, 73, 378, 11, 30, 0, 23, 4], [0, 0, 0, 0, 0, 83, 0, 796, 40, 81], [2, 4, 19, 22, 12, 19, 7, 3, 903, 9], [1, 1, 9, 4, 1, 19, 2, 30, 19, 914]]"
9,69.78,0.8239776482597326,0.7223125670687882,0.6978000000000001,0.6689829539959344,75661674,89.8,96.0,51.5,42.8,89.2,92.60000000000001,8.7,94.69999999999999,78.0,54.50000000000001,"[[898, 21, 10, 23, 13, 11, 17, 1, 6, 0], [12, 960, 10, 6, 7, 4, 0, 0, 1, 0], [71, 5, 515, 4, 363, 6, 30, 1, 5, 0], [170, 287, 8, 428, 93, 3, 11, 0, 0, 0], [8, 17, 53, 11, 892, 8, 9, 0, 1, 1], [0, 1, 0, 1, 0, 926, 1, 58, 0, 13], [344, 15, 99, 11, 406, 24, 87, 0, 12, 2], [0, 0, 0, 0, 0, 48, 0, 947, 0, 5], [11, 4, 16, 15, 29, 77, 31, 31, 780, 6], [1, 1, 1, 1, 1, 123, 5, 319, 3, 545]]"
10,73.78,0.8234171916882451,0.7656455304872478,0.7378,0.7059361607701302,82540008,78.60000000000001,95.0,79.9,81.3,65.3,87.2,0.3,96.3,85.2,68.7,"[[786, 19, 50, 115, 10, 9, 1, 0, 10, 0], [5, 950, 14, 23, 4, 3, 0, 0, 1, 0], [16, 5, 799, 13, 163, 1, 0, 1, 2, 0], [29, 85, 36, 813, 36, 1, 0, 0, 0, 0], [1, 6, 286, 49, 653, 2, 0, 0, 2, 1], [0, 2, 1, 5, 1, 872, 0, 92, 3, 24], [228, 8, 418, 100, 218, 11, 3, 0, 13, 1], [0, 0, 0, 0, 0, 28, 0, 963, 3, 6], [2, 4, 51, 27, 16, 25, 0, 15, 852, 8], [1, 2, 9, 5, 2, 32, 0, 257, 5, 687]]"
