Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,9.95,2.304260749024705,0.019542115034572156,0.0995,0.032628996187931546,113255328,63.9,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[639, 361, 0, 0, 0, 0, 0, 0, 0, 0], [644, 356, 0, 0, 0, 0, 0, 0, 0, 0], [443, 557, 0, 0, 0, 0, 0, 0, 0, 0], [508, 492, 0, 0, 0, 0, 0, 0, 0, 0], [371, 628, 0, 0, 0, 0, 1, 0, 0, 0], [436, 563, 0, 0, 0, 0, 1, 0, 0, 0], [409, 591, 0, 0, 0, 0, 0, 0, 0, 0], [600, 400, 0, 0, 0, 0, 0, 0, 0, 0], [656, 344, 0, 0, 0, 0, 0, 0, 0, 0], [769, 231, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,14.43,2.325061663271139,0.07964508586389586,0.1443,0.07058541412726711,240667572,97.2,0.0,0.0,2.6,0.0,9.0,35.5,0.0,0.0,0.0,"[[972, 0, 0, 5, 0, 9, 14, 0, 0, 0], [940, 0, 0, 8, 0, 17, 35, 0, 0, 0], [710, 0, 0, 30, 0, 78, 182, 0, 0, 0], [813, 0, 0, 26, 0, 61, 100, 0, 0, 0], [606, 0, 0, 18, 0, 59, 317, 0, 0, 0], [779, 0, 0, 31, 0, 90, 100, 0, 0, 0], [567, 0, 0, 17, 0, 61, 355, 0, 0, 0], [867, 0, 0, 17, 0, 40, 76, 0, 0, 0], [993, 0, 0, 1, 0, 3, 3, 0, 0, 0], [982, 0, 0, 2, 0, 4, 12, 0, 0, 0]]"
3,14.37,2.2978987122496095,0.10402613248909857,0.1437,0.07115422794270806,368079816,8.7,0.0,0.0,0.0,0.0,10.4,93.30000000000001,31.3,0.0,0.0,"[[87, 2, 0, 0, 0, 449, 273, 189, 0, 0], [2, 0, 0, 0, 0, 207, 528, 263, 0, 0], [17, 0, 0, 0, 0, 157, 752, 74, 0, 0], [0, 2, 0, 0, 0, 111, 842, 45, 0, 0], [3, 0, 0, 0, 0, 65, 876, 56, 0, 0], [1, 0, 0, 0, 0, 104, 857, 38, 0, 0], [1, 0, 0, 0, 0, 25, 933, 41, 0, 0], [0, 0, 0, 0, 0, 82, 605, 313, 0, 0], [19, 0, 0, 0, 0, 422, 336, 223, 0, 0], [3, 0, 0, 0, 0, 167, 342, 488, 0, 0]]"
4,15.99,2.2756189149789536,0.218795466781871,0.1599,0.12104346808208657,481335144,0.0,23.3,41.8,0.2,36.7,21.7,36.199999999999996,0.0,0.0,0.0,"[[0, 111, 387, 0, 455, 32, 15, 0, 0, 0], [0, 233, 542, 0, 182, 21, 22, 0, 0, 0], [0, 13, 418, 0, 331, 70, 168, 0, 0, 0], [0, 6, 477, 2, 287, 132, 96, 0, 0, 0], [0, 15, 272, 0, 367, 35, 311, 0, 0, 0], [0, 2, 462, 0, 257, 217, 62, 0, 0, 0], [0, 1, 301, 0, 301, 35, 362, 0, 0, 0], [0, 63, 534, 0, 301, 50, 52, 0, 0, 0], [0, 117, 370, 0, 489, 22, 2, 0, 0, 0], [0, 206, 479, 0, 288, 17, 10, 0, 0, 0]]"
5,22.21,2.105635204254248,0.2558735844625466,0.22210000000000002,0.14900749643904398,622904304,81.2,13.4,25.6,40.699999999999996,54.0,3.9,0.0,3.3000000000000003,0.0,0.0,"[[812, 23, 66, 37, 58, 4, 0, 0, 0, 0], [483, 134, 212, 88, 81, 2, 0, 0, 0, 0], [241, 8, 256, 181, 307, 5, 1, 1, 0, 0], [144, 3, 219, 407, 212, 14, 0, 1, 0, 0], [144, 6, 192, 109, 540, 6, 1, 2, 0, 0], [110, 2, 221, 446, 180, 39, 0, 2, 0, 0], [47, 0, 176, 193, 582, 1, 0, 1, 0, 0], [207, 38, 307, 190, 217, 8, 0, 33, 0, 0], [821, 17, 52, 49, 58, 3, 0, 0, 0, 0], [580, 58, 144, 119, 97, 1, 0, 1, 0, 0]]"
6,23.22,2.1286033589999898,0.19743625561573677,0.23220000000000002,0.12895208165558128,693688884,82.8,0.3,0.0,22.400000000000002,0.0,0.0,64.9,61.8,0.0,0.0,"[[828, 0, 0, 6, 0, 0, 39, 127, 0, 0], [563, 3, 0, 22, 0, 0, 70, 342, 0, 0], [261, 0, 0, 82, 0, 0, 375, 282, 0, 0], [183, 0, 0, 224, 0, 0, 287, 306, 0, 0], [160, 0, 0, 44, 0, 0, 567, 229, 0, 0], [152, 0, 0, 275, 0, 0, 245, 328, 0, 0], [66, 0, 0, 59, 0, 0, 649, 226, 0, 0], [172, 0, 0, 47, 0, 0, 163, 618, 0, 0], [853, 0, 0, 17, 0, 0, 20, 110, 0, 0], [533, 0, 0, 16, 0, 0, 36, 415, 0, 0]]"
7,20.5,2.1288839791910337,0.2816156214812703,0.20500000000000002,0.11955704260155749,764473464,86.5,17.1,2.8000000000000003,1.7999999999999998,79.60000000000001,16.6,0.0,0.6,0.0,0.0,"[[865, 31, 5, 1, 96, 2, 0, 0, 0, 0], [592, 171, 5, 1, 227, 4, 0, 0, 0, 0], [316, 10, 28, 4, 617, 25, 0, 0, 0, 0], [255, 8, 8, 18, 620, 91, 0, 0, 0, 0], [177, 7, 3, 1, 796, 16, 0, 0, 0, 0], [214, 6, 12, 18, 584, 166, 0, 0, 0, 0], [112, 5, 4, 4, 864, 10, 0, 1, 0, 0], [374, 34, 11, 3, 543, 29, 0, 6, 0, 0], [900, 16, 0, 0, 81, 3, 0, 0, 0, 0], [733, 43, 2, 1, 217, 3, 0, 1, 0, 0]]"
8,30.59,1.930858113895209,0.27689047414229073,0.3059,0.25046364083718664,863571876,47.199999999999996,80.30000000000001,7.9,10.0,64.1,40.300000000000004,0.0,33.0,23.1,0.0,"[[472, 291, 21, 10, 61, 27, 0, 22, 96, 0], [32, 803, 0, 11, 83, 21, 0, 34, 16, 0], [80, 146, 79, 70, 425, 138, 0, 52, 10, 0], [28, 164, 25, 100, 310, 275, 1, 93, 4, 0], [45, 105, 19, 14, 641, 90, 0, 69, 17, 0], [23, 107, 23, 96, 260, 403, 0, 84, 4, 0], [5, 66, 15, 64, 694, 87, 0, 67, 2, 0], [15, 262, 15, 36, 204, 121, 1, 330, 16, 0], [317, 330, 9, 7, 60, 18, 0, 28, 231, 0], [41, 679, 6, 20, 50, 15, 0, 139, 50, 0]]"
9,26.83,1.932259005098678,0.40302275943811,0.2683,0.20454174913561252,934356456,50.3,16.6,4.2,0.2,0.0,12.7,91.9,51.2,1.5,39.7,"[[503, 18, 22, 0, 0, 2, 168, 103, 2, 182], [92, 166, 3, 0, 0, 3, 211, 305, 0, 220], [56, 1, 42, 2, 0, 20, 723, 131, 0, 25], [12, 3, 6, 2, 0, 61, 749, 153, 0, 14], [29, 2, 8, 0, 0, 4, 805, 117, 0, 35], [9, 0, 9, 1, 0, 127, 708, 133, 0, 13], [3, 1, 4, 0, 0, 3, 919, 62, 0, 8], [8, 2, 6, 0, 0, 17, 406, 512, 0, 49], [419, 25, 7, 0, 0, 16, 125, 106, 15, 287], [47, 32, 0, 0, 0, 1, 148, 375, 0, 397]]"
10,30.91,1.8796981032283162,0.37090091413658866,0.30910000000000004,0.24823247297915,1019297952,20.7,37.4,5.800000000000001,0.1,0.0,72.6,46.300000000000004,63.800000000000004,61.3,1.0999999999999999,"[[207, 37, 74, 3, 0, 170, 17, 166, 325, 1], [8, 374, 2, 0, 0, 143, 24, 299, 147, 3], [14, 6, 58, 1, 0, 482, 196, 222, 21, 0], [0, 7, 8, 1, 0, 648, 101, 224, 11, 0], [6, 7, 17, 0, 0, 309, 377, 248, 36, 0], [1, 4, 7, 1, 0, 726, 76, 177, 8, 0], [0, 2, 3, 2, 0, 348, 463, 179, 3, 0], [0, 5, 8, 1, 0, 278, 53, 638, 17, 0], [29, 59, 21, 2, 0, 124, 5, 147, 613, 0], [6, 114, 2, 0, 0, 102, 11, 499, 255, 11]]"
11,30.81,1.8467997495358743,0.34809017681052945,0.3081,0.2572519749319376,1160867112,82.3,41.5,7.1,60.5,7.1,17.1,50.7,35.4,6.4,0.0,"[[823, 43, 7, 61, 8, 3, 18, 20, 17, 0], [353, 415, 1, 125, 7, 3, 40, 48, 8, 0], [178, 13, 71, 386, 29, 37, 229, 54, 3, 0], [108, 18, 11, 605, 5, 74, 127, 47, 5, 0], [141, 11, 24, 231, 71, 40, 393, 88, 1, 0], [89, 8, 13, 557, 8, 171, 100, 53, 1, 0], [32, 3, 13, 352, 25, 25, 507, 41, 2, 0], [184, 17, 9, 287, 10, 53, 85, 354, 1, 0], [780, 52, 5, 69, 2, 2, 7, 19, 64, 0], [487, 158, 4, 161, 0, 0, 17, 111, 62, 0]]"
12,29.51,1.905749452761568,0.4076292418166737,0.29510000000000003,0.23619118627207705,1245808608,86.8,55.2,27.800000000000004,57.3,26.8,23.1,1.5,16.5,0.0,0.1,"[[868, 55, 25, 33, 12, 3, 0, 4, 0, 0], [325, 552, 22, 74, 17, 4, 1, 5, 0, 0], [220, 35, 278, 297, 93, 58, 1, 18, 0, 0], [148, 44, 84, 573, 43, 92, 3, 13, 0, 0], [180, 19, 225, 216, 268, 70, 5, 17, 0, 0], [109, 24, 81, 492, 47, 231, 3, 13, 0, 0], [59, 15, 206, 371, 278, 45, 15, 11, 0, 0], [279, 75, 102, 253, 42, 84, 0, 165, 0, 0], [849, 77, 16, 46, 4, 5, 0, 3, 0, 0], [558, 288, 20, 106, 8, 1, 0, 18, 0, 1]]"
13,37.28,1.7235981873430002,0.424840917136856,0.37279999999999996,0.3490156952122834,1387377768,46.6,22.8,15.9,2.4,31.1,68.60000000000001,59.199999999999996,26.200000000000003,62.6,37.4,"[[466, 20, 75, 2, 36, 59, 31, 13, 272, 26], [71, 228, 8, 5, 15, 106, 112, 22, 242, 191], [55, 3, 159, 13, 149, 312, 244, 23, 32, 10], [20, 7, 47, 24, 44, 571, 242, 8, 16, 21], [37, 1, 38, 1, 311, 224, 321, 20, 40, 7], [8, 1, 37, 14, 65, 686, 146, 13, 15, 15], [3, 0, 26, 14, 132, 213, 592, 4, 8, 8], [22, 2, 37, 7, 112, 344, 125, 262, 34, 55], [161, 30, 24, 5, 34, 59, 23, 8, 626, 30], [47, 45, 13, 11, 10, 92, 85, 35, 288, 374]]"
